sample,tx_hash,l1_block,timestamp,time_utc,nonce,max_fee_per_gas_wei,max_priority_fee_per_gas_wei,max_fee_per_blob_gas_wei,blobs,gas_used,effective_gas_price_wei,blob_gas_price_wei,base_fee_wei
hourly,0xbc215c156fb40d1ee0e540f883f05e7d1a70352488f56eb39487dc68ace63ee9,25878707,1788220835,2026-09-01T00:00:35Z,171028,416799240,1000000,21785920,3,144456,49124069,2304275,48124069
hourly,0xd2de4656f58f308efb52a24fb6c6a2660d5dac4bf5a9af822fcabdeec51a9111,25879003,1788224411,2026-09-01T01:00:11Z,171270,549517910,1000000,30501680,3,144456,55982971,3166377,54982971
hourly,0x43c40bc783b507152baf77d04081557faeb44a71d565d53adb06c560e6900168,25879305,1788228047,2026-09-01T02:00:47Z,171478,501822860,1000000,27163170,3,144456,56626012,2549026,55626012
hourly,0x3e834a36e0f65219c182998566c3220be0b14f93254b23a64cd202db00f50133,25879610,1788231707,2026-09-01T03:01:47Z,171650,610763660,1000000,30161070,3,144456,78427342,3250307,77427342
hourly,0xa1068d1d4d892086b820f1ce7e787a6b6bf6bfcf31184bb1ee09cbe0a92dcfa7,25879901,1788235211,2026-09-01T04:00:11Z,171837,1105028510,1000000,34765780,3,144456,108170827,3568775,107170827
hourly,0x9483cfb28cd70bbdc1cf61c3b013055302f7d31f23511a6f9fad04b8016b0697,25880199,1788238811,2026-09-01T05:00:11Z,172011,400926170,1000000,25777360,3,144456,47925365,2383069,46925365
hourly,0xc597214703eb0b26bf8f05abb0bfa4fdda05e18f0f311f7436c364227173554a,25880496,1788242411,2026-09-01T06:00:11Z,172200,573972440,1000000,37047000,3,144456,57776134,3202000,56776134
hourly,0x7411ed45f700e9548407ae6a8035a2aeeff8da694ad92f55389e6e2df44136ea,25880797,1788246023,2026-09-01T07:00:23Z,172389,486664230,1000000,26559770,3,152885,52456143,2696000,51456143
hourly,0x141fa91dc4394407be541367abce5bf51ffc82296e88b694276612152cf494b2,25881097,1788249635,2026-09-01T08:00:35Z,172552,452168610,1000000,24645840,3,144456,44609032,2655959,43609032
hourly,0xd6347aedd78dc3509112bee1ecd655dac1e27d501df9a7d69bc283184eac90c4,25881394,1788253211,2026-09-01T09:00:11Z,172694,852388180,1000000,52452590,3,144456,86156713,5465497,85156713
hourly,0xc219780de226ac933cdc3428bacd0e265894d349c3cb798168229d9d9c6513c6,25881696,1788256835,2026-09-01T10:00:35Z,172878,950312000,1000000,52061490,3,144456,98944169,5424745,97944169
hourly,0x580d793fbe7ff092d6f9e5ffe1a4e3ec6ae9111b45d8bca6887cadd2f472cd2b,25881991,1788260411,2026-09-01T11:00:11Z,173059,1139802680,1000000,68400320,3,144456,119473507,7343651,118473507
hourly,0xee59fdc1442e8c01e8499d246d69aa3a2c4e562118b399ffad575ee954d6a55e,25882292,1788264023,2026-09-01T12:00:23Z,173247,939238800,1000000,52060910,3,144456,102187259,5445007,101187259
hourly,0x900a24b108e8b27f3558fe5e8fb86af040a8517e4ce9ee2bd79c854f531b92bd,25882589,1788267611,2026-09-01T13:00:11Z,173445,2615408120,1000000,155126270,3,144456,262819227,15864584,261819227
hourly,0x1904bf911bfcfb48bb40ba5b4850485071109d4d902f7d36de4a8223107f1aba,25882891,1788271235,2026-09-01T14:00:35Z,173648,2273848080,1000000,135082450,3,144456,242418250,14394779,241418250
hourly,0x66e8135a597da30007ff0fe71961c762ff91e43922ba25aa2c678ab21e042702,25883190,1788274823,2026-09-01T15:00:23Z,173879,1529140890,1000000,95405750,3,144456,149544480,7738142,148544480
hourly,0xcd8c9d7bfd2aca71b0b755255550945ff4e1270d09a262814f42378153570e10,25883487,1788278411,2026-09-01T16:00:11Z,174110,1496630560,1000000,92940540,3,144456,145253480,8215175,144253480
hourly,0x1adbfa888e388111b75710398d9b3839b289e3f994ff702b6a28d59bd697e4c9,25883787,1788282011,2026-09-01T17:00:11Z,174372,1775462300,1000000,104753160,3,144456,176117442,10874417,175117442
hourly,0x00ea4d4902a8223a85fb09a8784f14038a1e799ea246df2ef139acda2c2a20c8,25884090,1788285659,2026-09-01T18:00:59Z,174616,1365834500,1000000,77670100,3,144456,131421466,6942839,130421466
hourly,0x65a0c78775379abc58d5d5b7ff17f114dc24a884661cce543b61122e38786fb1,25884386,1788289211,2026-09-01T19:00:11Z,174837,2985585340,1000000,189828340,3,144456,312793850,17353525,311793850
hourly,0x18f843ca030640a2e007f1d6a5ac2cda839478f2c8eeb9dd3521f9647c778a0a,25884690,1788292871,2026-09-01T20:01:11Z,175069,731525720,1000000,49403580,3,144456,88221633,4238175,87221633
hourly,0x8350b63432c731f99217dfe5c5f79d6d27b6d780951e94130a967e84ba673085,25884985,1788296411,2026-09-01T21:00:11Z,175326,450459380,1000000,24460470,3,144456,44998859,2510915,43998859
hourly,0x85b3f1cd50b64865fdf7e7a926051c99d17aa695c74c939fcb786bb307dbd0b8,25885284,1788300035,2026-09-01T22:00:35Z,175583,424774300,1000000,25203090,3,144456,41661311,2418750,40661311
hourly,0x7f7a5854fd3d88769a69e3d3b2a8a7aa9e9482c64f94c39961327fa450d15db0,25885581,1788303611,2026-09-01T23:00:11Z,175837,489234920,1000000,25487240,3,144456,44356416,2373936,43356416
hourly,0xf08998c218599b9edc6f7fa49e08b81919482ede7969ff37cac27afe4bfc77ea,25885880,1788307223,2026-09-02T00:00:23Z,176068,398329660,1000000,22444420,3,144456,45756540,2482866,44756540
hourly,0xec8bd623fd6205bddc81392bc7cfc8dc40fd27df0e635e3c44ddde75bda88fa1,25886178,1788310811,2026-09-02T01:00:11Z,176260,437504200,1000000,22277060,3,144456,45219791,2269746,44219791
hourly,0x9e2be974d104fc05c6d7ee9066120f4b962664649ab38c7d4faea751af097d44,25886476,1788314411,2026-09-02T02:00:11Z,176450,459050570,1000000,28194250,3,144456,49729777,2705812,48729777
hourly,0xa9c8aedd789bf255e158a167c9e88669e2ea14242fa98b3ca5288d87eafb8e8b,25886775,1788318011,2026-09-02T03:00:11Z,176646,510862050,1000000,27465710,3,144456,48285007,2840572,47285007
hourly,0x71f2460b880818379e408c92dd5244585fb94177ddc2d2590bcd8aac2e47a9db,25887075,1788321611,2026-09-02T04:00:11Z,176869,517907110,1000000,29932140,3,144456,46668583,2829955,45668583
hourly,0xf912e88feea8234d8c42b19e6d4e5cbaa320727efe75ae10aaf0764f898c2c2f,25887376,1788325223,2026-09-02T05:00:23Z,177064,919393970,1000000,50333380,3,144456,100791623,5464893,99791623
hourly,0xc7345659647bc097c2a9129bad66c54105acad5e4928c1d0f0fc1257a666f7f5,25887675,1788328811,2026-09-02T06:00:11Z,177247,752574480,1000000,45841190,3,144456,75470110,4741011,74470110
hourly,0xdedf7b553f5ce5ba39e2bb951426e03089ac1c2874dbe3be911a1f6116499a19,25887976,1788332423,2026-09-02T07:00:23Z,177407,494791870,1000000,25967010,3,144444,50908579,2756793,49908579
hourly,0x9cc6a2d883d9bf266bd77ea4cebd499a0f16365e2f3de7e7c151170e873ecb7c,25888273,1788336011,2026-09-02T08:00:11Z,177563,488882270,1000000,29819690,3,144456,46921349,2665548,45921349
hourly,0xaac50958e94549b71bdfa98b5b25c2892c9fe9af443be428832c0a62b344456f,25888574,1788339623,2026-09-02T09:00:23Z,177737,1128484640,1000000,69682470,3,144456,133410989,7425567,132410989
hourly,0x7b65c1c9a70c617d4e780b3d31cd5ceab02a384127f06a2b69c1f98a0249578e,25888871,1788343223,2026-09-02T10:00:23Z,177922,1349326420,1000000,87207620,3,144456,139079998,7287989,138079998
hourly,0x83ce689df6987fe0c9f85bbcc1dc088f02800a15014e0b55c739de7a950af159,25889167,1788346811,2026-09-02T11:00:11Z,178158,1298645840,1000000,80621540,3,144456,116067272,7565627,115067272
hourly,0xf3431b5915a87f686d20e7c68e9e234268383187ebb20f7f14792006a82915fc,25889467,1788350411,2026-09-02T12:00:11Z,178403,999230830,1000000,66127670,3,144456,104877022,6252085,103877022
hourly,0x84860123c4fec7777a3c7f9f73c9d317add91a969c8510d3d8d17d60cd7cedbd,25889766,1788354011,2026-09-02T13:00:11Z,178629,2251523540,1000000,148855750,3,144456,222820805,15568697,221820805
hourly,0x63eac119f6692c6d1f174554d01a1d6a1d796281e2773e40e23562c2736e09c4,25890064,1788357611,2026-09-02T14:00:11Z,178889,1637325500,1000000,95751350,3,144456,172522145,10552759,171522145
hourly,0x75f243ba37d0d263f1d41a21537817fa864ff829cd2ddbaaee50b69674c17ad5,25890370,1788361295,2026-09-02T15:01:35Z,179207,2337865680,1000000,127697430,3,144456,249014040,12533220,248014040
hourly,0xaedaea612dfe18c6ba63d9887baa380e25cc5147457046f000811d502d15968f,25890664,1788364835,2026-09-02T16:00:35Z,179531,1650299000,1000000,105132750,3,144456,163522434,8591084,162522434
hourly,0xa211c500586312d6b5049a19978e36cd05bca59ea1a6c655a3f73efdd09d5387,25890962,1788368411,2026-09-02T17:00:11Z,179797,3044721780,1000000,158030090,3,144456,298312319,16840146,297312319
hourly,0xe9df31e9185034e9545322ef22fd0cdb7aaa909b771a5364036f33ecc033c7ec,25891261,1788372011,2026-09-02T18:00:11Z,180092,1740143540,1000000,91548120,3,144456,171914537,9719225,170914537
hourly,0xd49eb502902d2e7d83aee4835cb2c641593f5a28db68a12805cf9c762c8728cc,25891561,1788375611,2026-09-02T19:00:11Z,180410,1493723940,1000000,93975460,3,144456,149777786,9086559,148777786
hourly,0x090c8feabf3161eae9b9a9b7292b99af440d0e3552de8b0e3057546fdb060ce9,25891862,1788379223,2026-09-02T20:00:23Z,180667,1330471550,1000000,81527500,3,144456,129528181,7882957,128528181
hourly,0x619f84051fc459268799a2e8e87b03987589021a84c983c3bf3cb9fe31e62e2e,25892163,1788382835,2026-09-02T21:00:35Z,180941,762118870,1000000,45837690,3,144456,74646955,3802141,73646955
hourly,0xf7bf706745b04c52087b0a6c7b91cba232b8447cb0581c17fbcb87a945d4c346,25892460,1788386435,2026-09-02T22:00:35Z,181195,496944090,1000000,29047320,3,144456,44808656,2715664,43808656
hourly,0x31a67ec8c4cc75eac4b7c3e50aa0145e405781ffdb19845c1b873cb0760cc7d2,25892755,1788390023,2026-09-02T23:00:23Z,181460,445863260,1000000,27772630,3,144456,51372795,2675334,50372795
hourly,0x216af34acfc3df6cab7e7b7254339275b43b72d33afbd7247a7d72aa9fe58e26,25893052,1788393611,2026-09-03T00:00:11Z,181701,425664530,1000000,24184140,3,144456,50692021,2577133,49692021
hourly,0x3f93b73efd97dc6a492995e93ab29744dc9f4e17ca9e3f684b87f86765008cec,25893351,1788397211,2026-09-03T01:00:11Z,181938,403717190,1000000,25867720,3,144456,41701716,2567500,40701716
hourly,0x2a1002902561d93bc8b1b135ca54ca5eaad4b5d0884fb39d2b088fee7a967da5,25893652,1788400823,2026-09-03T02:00:23Z,182153,447844740,1000000,25105260,3,144456,39203641,2177995,38203641
hourly,0xf00ccfc7048c17df5afba7f7e9340e3a047570d300135dd786e500b204fb1ac8,25893951,1788404411,2026-09-03T03:00:11Z,182345,870255170,1000000,49580410,3,144456,85654360,5127729,84654360
hourly,0x9b192d4a43d1cbe5937ed44c910fd6c600a6fc5b511214d6512c2997dee060e4,25894251,1788408011,2026-09-03T04:00:11Z,182535,500198210,1000000,27771830,3,144456,53563425,2926436,52563425
hourly,0xac1b87515bb3d1169bfdb25b6b959282737112c9289d8657b843431b8ad19564,25894549,1788411611,2026-09-03T05:00:11Z,182705,425172360,1000000,23295900,3,144444,41503089,2548313,40503089
hourly,0x6fb019b311d2684f1ae409255592bf1a64cfb53a25de279ebcb6ca22b9c57912,25894848,1788415211,2026-09-03T06:00:11Z,182879,414335360,1000000,25104720,3,144456,46291024,2510472,45291024
hourly,0xf102bc18e1017092f76545efab8743c87636ba5ca342042e12ea30e04a787856,25895147,1788418823,2026-09-03T07:00:23Z,183025,712511450,1000000,36351120,3,152885,76083259,3859224,75083259
hourly,0xe7da4d754d582eaff36f1781cca55c86f26388c4a5bb4a08b53aa50c24182916,25895444,1788422423,2026-09-03T08:00:23Z,183176,970931830,1000000,61356450,3,144456,105942672,5382996,104942672
hourly,0x9feac8691c764c7bcc9c814227233d0726841436e24bc772e821d269a0d40950,25895744,1788426035,2026-09-03T09:00:35Z,183343,691341480,1000000,38447820,3,144456,70050487,3554431,69050487
hourly,0x05b48e8138b7e9f9daef70c117af757e625ca52f2108eb472b898cb4eaba64f3,25896042,1788429623,2026-09-03T10:00:23Z,183498,848648910,1000000,48297760,3,144456,89675805,5013786,88675805
hourly,0x036a45bb6e9f9e46efb90764830d441d199bc7393539017a5888cb83cddefd75,25896341,1788433211,2026-09-03T11:00:11Z,183628,607028240,1000000,36079550,3,144456,61991406,3373115,60991406
hourly,0x94b6a118eef30091676be3056e42f7896bce30dc267eaceb25316586a34d3dcd,25896641,1788436811,2026-09-03T12:00:11Z,183784,945062760,1000000,52634640,3,144456,97134944,5587967,96134944
hourly,0x16907cda42572468513a3217855187ba3acd06224d18b4b45a58f80b4be2063a,25896938,1788440411,2026-09-03T13:00:11Z,184012,2345859140,1000000,149394490,3,144456,210024930,13354200,209024930
hourly,0x84f933b2f3309e226fbf71e8fe1e7ad9e80350f41081a0672124b3e6fc493e24,25897240,1788444035,2026-09-03T14:00:35Z,184254,1519894290,1000000,99386750,3,144456,135307348,8622251,134307348
hourly,0x0119ba3e5bdbcf0c44c36b30fc55ad8c9d3993988ae0440e32f2c0038609c3fd,25897542,1788447671,2026-09-03T15:01:11Z,184559,6492205240,1000000,417734060,3,144456,962309029,45185750,961309029
hourly,0xdf7746f86ee37bced6867a2554ee17f8dd22bdc4c728291ed971851c8fd4218c,25897842,1788451271,2026-09-03T16:01:11Z,184850,4255362040,1000000,263729710,3,144456,510446147,24199675,509446147
hourly,0x44ecfc6ee3e510642710c00cfb11a5dfcc48c622d91229117faf3481b85b5a6a,25898136,1788454811,2026-09-03T17:00:11Z,185189,3159571980,1000000,198491290,3,144456,290283586,18766493,289283586
hourly,0x89d834428cce4cf9dd8a28e79f28bf9f81b6f8b079190a531366726d68c39b63,25898434,1788458411,2026-09-03T18:00:11Z,185572,1340235050,1000000,83993350,3,144456,133735305,8121382,132735305
hourly,0x769f3450452a55dd650c8861ee8c0323385ea2049fba334569f13a7fa38470be,25898732,1788462011,2026-09-03T19:00:11Z,185896,1577469500,1000000,94668790,3,144456,154182972,9502342,153182972
hourly,0x53fec088bb4f877a6a8f882212534987ed344a5f2f8e9a9a795c743c1f136363,25899033,1788465635,2026-09-03T20:00:35Z,186193,1289045550,1000000,78525370,3,144456,124098982,7621121,123098982
hourly,0x47c141b6df145e84bb8a13be9dbfee4090c13ea2925be5b62022eba8360d7313,25899333,1788469235,2026-09-03T21:00:35Z,186515,1028029470,1000000,62744330,3,144456,109986520,5866032,108986520
hourly,0xb0848c941dcbeaf1a68ba5b9ad8c889b1051c0de4e0973b3b9d9873a3eaea63d,25899630,1788472811,2026-09-03T22:00:11Z,186839,975256180,1000000,58660090,3,144456,98539568,5954404,97539568
hourly,0x33c821bfa5e749ccc1ecd1bb35f34d3e0283338301591296d80389d9ed6669bd,25899929,1788476411,2026-09-03T23:00:11Z,187140,602854470,1000000,35808600,3,144456,59795311,3717288,58795311
hourly,0xa5784cbd8c8c045861162c2af6ac21f0f8d0ed79bcba81ccc5eb11fae5547bab,25900227,1788480011,2026-09-04T00:00:11Z,187404,422608340,1000000,27254690,3,144456,42395733,2625442,41395733
hourly,0xdd2ee0bd2103ed47ea3ef47bcfb67497946a2689ab56358e4f32c425b83a0be6,25900527,1788483623,2026-09-04T01:00:23Z,187676,1337294510,1000000,76781470,3,144456,132036807,8030510,131036807
hourly,0x605103c69e279d16c2b8c46ba977d1c54eb77f79a2cebccec63940194357c6c1,25900825,1788487211,2026-09-04T02:00:11Z,187946,934284280,1000000,59320590,3,144456,86184462,5243450,85184462
hourly,0x643bd1f4e43ca5f1d708f9d08b98e70031ac653e91e1d212b8b8f4d27d432275,25901120,1788490811,2026-09-04T03:00:11Z,188192,1426939160,1000000,86864020,3,144456,145207495,9153230,144207495
hourly,0x4d51cdbd7ade9a11af68d93ef1ea131cb72429d00c28d554bf40f842e808cb29,25901419,1788494411,2026-09-04T04:00:11Z,188449,633938790,1000000,37033170,3,144456,61104400,3887778,60104400
hourly,0xeb72dd7b747a1f146c713aec37abfcd94652ccb2b5ff38fa472bf7ea2a80a2e3,25901718,1788498011,2026-09-04T05:00:11Z,188720,787544130,1000000,49204430,3,144456,79383918,4514968,78383918
hourly,0x882d1ab3826a14f5b3a9a4c41be0a8cba898300acf2681954b2e0c56734ec498,25902019,1788501623,2026-09-04T06:00:23Z,188970,596803570,1000000,32247970,3,152885,64315399,3273391,63315399
hourly,0x886bd492049332c0f55f6542ce54e3e20a9b2eb11e614068d2f6f3068ab42810,25902317,1788505211,2026-09-04T07:00:11Z,189251,786196490,1000000,46346540,3,144456,73636798,4686936,72636798
hourly,0xd563d67cf752396401d597169d5bd0e8a45c4cec8cf09c4fbd2817dca14abd64,25902617,1788508811,2026-09-04T08:00:11Z,189565,606701570,1000000,33226840,3,144456,63906165,3462197,62906165
hourly,0x992e0f7b5b28ac549360a3739dc45f108d43cb94e1ee2743f0f164eae319efc3,25902917,1788512411,2026-09-04T09:00:11Z,189858,785854660,1000000,50508240,3,144456,79463578,5013193,78463578
hourly,0x6b9c0fa45758af629049faaa3f12961cb5f8732511db63fdce169315140970af,25903217,1788516023,2026-09-04T10:00:23Z,190130,1118032600,1000000,70187900,3,144456,104153243,5821940,103153243
hourly,0xd4b2b5df5623ad3279a560d580b653115212cc66f391cb6010d1e9a66329c4df,25903516,1788519611,2026-09-04T11:00:11Z,190369,994785920,1000000,56715050,3,144456,99294377,5865612,98294377
hourly,0xf3db184ba0a20f0460b2c4e2ee7a0a47ae33e70a6b249a086bd14245bb744f7f,25903815,1788523211,2026-09-04T12:00:11Z,190657,816768280,1000000,47396810,3,144456,80281218,4938692,79281218
hourly,0x141ca9ed4855983c36fd6ca90d7b346bc48848935b302f28414617457aca93eb,25904122,1788526895,2026-09-04T13:01:35Z,190947,14355021450,1000000,895620460,3,144456,1428072879,79462004,1427072879
hourly,0x6185f270d78c4ab659756891563e91de2a0f046fdfe6da29924bdac59c84d4c7,25904413,1788530411,2026-09-04T14:00:11Z,191220,4916995470,1000000,281006520,3,144456,473244471,30396115,472244471
hourly,0x7c240c6e1e5e815a0ff9fa2b9fb5528fe7d07981bc78404c214a5e62cf2fda3e,25904712,1788534011,2026-09-04T15:00:11Z,191534,3228881800,1000000,199212420,3,144456,319362276,20145965,318362276
hourly,0xee5bd6a53b8a0191efeb84efd35ea1675364d8e385a933f3edd9ec0385b3dd8c,25905011,1788537623,2026-09-04T16:00:23Z,191822,1170980810,1000000,71778130,3,144456,122846002,6344593,121846002
hourly,0x75f67da8440a7ea54fa272991dd07e10ba36800e3187c3622b5c3d0e76b99d13,25905309,1788541223,2026-09-04T17:00:23Z,192103,1148191720,1000000,70712200,3,144444,102662611,6250373,101662611
hourly,0xd072938840f8a03b222bcd5a32e096e1db3cc4c57ed5b73b5edb4a7edc01a7e2,25905607,1788544811,2026-09-04T18:00:11Z,192396,817058190,1000000,49017470,3,144456,80769521,4938541,79769521
hourly,0x728a3df391bf9603d1c96ff774bab9e55a49562838d43c57e6b1f4c42b8207b3,25905905,1788548423,2026-09-04T19:00:23Z,192666,727425990,1000000,42524660,3,144456,65305902,4381592,64305902
hourly,0xce19c3f73935523768f85febd8133ddea75411e9d46ca8c586c3197336723ae8,25906205,1788552023,2026-09-04T20:00:23Z,192968,751428980,1000000,43165250,3,144456,83292975,4447596,82292975
