l1_timestamp,l1_time_utc,posting_delay_newest_s,messages_in_batch,batch_sequence,max_fee_per_blob_gas_wei,max_fee_per_gas_wei,blobs,nonce
1788526895,2026-09-04T13:01:35Z,607,208,190948,895620460,14355021450,3,
1788527015,2026-09-04T13:03:35Z,437,312,190958,895620230,14283330120,3,
1788527135,2026-09-04T13:05:35Z,378,283,190965,671559310,11522270170,3,
1788527267,2026-09-04T13:07:47Z,307,226,190973,609344950,9505850390,3,
1788527423,2026-09-04T13:10:23Z,248,189,190982,542653480,9149589070,3,
1788527555,2026-09-04T13:12:35Z,268,106,190992,542653340,8194215160,3,
1788527675,2026-09-04T13:14:35Z,226,139,191002,565438240,9318643530,3,
1788527795,2026-09-04T13:16:35Z,154,176,191012,507332070,7388820260,3,
1788527915,2026-09-04T13:18:35Z,46,136,191023,476086830,8115724710,3,
1788528035,2026-09-04T13:20:35Z,34,110,191031,496076660,7985041640,3,
1788528167,2026-09-04T13:22:47Z,80,125,191038,470775920,7719814610,3,
1788528287,2026-09-04T13:24:47Z,100,108,191047,499800140,8478391280,3,
1788528407,2026-09-04T13:26:47Z,132,108,191055,516905680,8134111260,3,
1788528539,2026-09-04T13:28:59Z,169,116,191063,448439110,6577216460,3,
1788528683,2026-09-04T13:31:23Z,223,87,191071,405376360,7516145750,3,
1788528815,2026-09-04T13:33:35Z,265,111,191079,423979630,7122105380,3,
1788529031,2026-09-04T13:37:11Z,383,98,191088,467268030,7723129790,3,
1788529151,2026-09-04T13:39:11Z,382,86,191101,582606690,10086983560,3,
1788529271,2026-09-04T13:41:11Z,366,107,191115,642090890,10511214870,3,
1788529391,2026-09-04T13:43:11Z,329,102,191131,578265860,9708687870,3,
1788529559,2026-09-04T13:45:59Z,339,101,191145,561224180,9096662750,3,
1788529691,2026-09-04T13:48:11Z,406,109,191151,530613170,9321933830,3,
1788529811,2026-09-04T13:50:11Z,322,97,191169,661587590,9261920120,3,
1788529931,2026-09-04T13:52:11Z,274,124,191184,550828940,8492274330,3,
1788530051,2026-09-04T13:54:11Z,257,133,191195,367821100,6559618800,3,
1788530183,2026-09-04T13:56:23Z,271,136,191204,435222760,6712419700,3,
1788530339,2026-09-04T13:58:59Z,308,131,191213,286309600,4759072850,3,
1788530459,2026-09-04T14:00:59Z,282,125,191224,275801690,5075844570,3,
1788530579,2026-09-04T14:02:59Z,294,133,191232,288458600,4283344220,3,
1788530699,2026-09-04T14:04:59Z,321,121,191239,289539170,5118842950,3,
1788530819,2026-09-04T14:06:59Z,301,100,191250,262715760,4334074000,3,
1788530939,2026-09-04T14:08:59Z,305,102,191261,260758410,4496635440,3,
1788531059,2026-09-04T14:10:59Z,296,99,191273,258815620,4326084050,3,
1788531179,2026-09-04T14:12:59Z,296,132,191283,241969370,3978379320,3,
1788531335,2026-09-04T14:15:35Z,346,125,191291,221200960,3814666200,3,
1788531467,2026-09-04T14:17:47Z,312,116,191305,237487530,4167719390,3,
1788531587,2026-09-04T14:19:47Z,256,132,191320,210705680,3604265480,3,
1788531707,2026-09-04T14:21:47Z,286,117,191328,188347320,3974752130,3,
1788531827,2026-09-04T14:23:47Z,289,95,191342,224534010,3818639060,3,
1788531959,2026-09-04T14:25:59Z,243,158,191355,193342130,3247089840,3,
1788532079,2026-09-04T14:27:59Z,238,137,191364,194793360,3228769360,3,
1788532199,2026-09-04T14:29:59Z,281,105,191372,180082880,3071552860,3,
1788532319,2026-09-04T14:31:59Z,267,114,191385,256886820,4186596740,3,
1788532439,2026-09-04T14:33:59Z,258,101,191396,266673990,4529471030,3,
1788532559,2026-09-04T14:35:59Z,282,125,191404,237487080,4273768730,3,
1788532679,2026-09-04T14:37:59Z,269,127,191415,206030770,4015366750,3,
1788532799,2026-09-04T14:39:59Z,279,120,191424,254972700,4327598730,3,
1788532919,2026-09-04T14:41:59Z,262,110,191436,243784970,4100686630,3,
1788533039,2026-09-04T14:43:59Z,280,95,191445,204495660,4109185270,3,
1788533159,2026-09-04T14:45:59Z,298,120,191454,237486880,4304804160,3,
1788533315,2026-09-04T14:48:35Z,328,98,191465,254972590,4042313130,3,
1788533483,2026-09-04T14:51:23Z,358,124,191477,241968580,4512223950,3,
1788533615,2026-09-04T14:53:35Z,313,109,191494,290622610,4736383130,3,
1788533735,2026-09-04T14:55:35Z,271,115,191510,244698000,4067276570,3,
1788533855,2026-09-04T14:57:35Z,239,183,191524,261734130,4152389000,3,
1788533975,2026-09-04T14:59:35Z,275,112,191531,174775390,2977677750,3,
1788534095,2026-09-04T15:01:35Z,254,152,191540,209918550,3592850580,3,
1788534215,2026-09-04T15:03:35Z,271,91,191547,189052240,3109411080,3,
