l1_timestamp,l1_time_utc,posting_delay_newest_s,selector
1788220835,2026-09-01T00:00:35Z,49,0x3e5aa082
1788222035,2026-09-01T00:20:35Z,78,0x3e5aa082
1788223235,2026-09-01T00:40:35Z,87,0x3e5aa082
1788224447,2026-09-01T01:00:47Z,70,0x3e5aa082
1788225659,2026-09-01T01:20:59Z,29,0x3e5aa082
1788226859,2026-09-01T01:40:59Z,23,0x3e5aa082
1788228071,2026-09-01T02:01:11Z,36,0x3e5aa082
1788229271,2026-09-01T02:21:11Z,24,0x3e5aa082
1788230471,2026-09-01T02:41:11Z,26,0x3e5aa082
1788231707,2026-09-01T03:01:47Z,111,0x3e5aa082
1788232907,2026-09-01T03:21:47Z,31,0x3e5aa082
1788234107,2026-09-01T03:41:47Z,45,0x3e5aa082
1788235331,2026-09-01T04:02:11Z,34,0x3e5aa082
1788236531,2026-09-01T04:22:11Z,34,0x3e5aa082
1788237731,2026-09-01T04:42:11Z,38,0x3e5aa082
1788239003,2026-09-01T05:03:23Z,113,0x3e5aa082
1788240239,2026-09-01T05:23:59Z,85,0x3e5aa082
1788241439,2026-09-01T05:43:59Z,20,0x3e5aa082
1788242639,2026-09-01T06:03:59Z,25,0x3e5aa082
1788243839,2026-09-01T06:23:59Z,18,0x3e5aa082
1788245039,2026-09-01T06:43:59Z,30,0x3e5aa082
1788246239,2026-09-01T07:03:59Z,19,0x3e5aa082
1788247451,2026-09-01T07:24:11Z,22,0x3e5aa082
1788248663,2026-09-01T07:44:23Z,22,0x3e5aa082
1788249863,2026-09-01T08:04:23Z,32,0x3e5aa082
1788251123,2026-09-01T08:25:23Z,73,0x3e5aa082
1788252335,2026-09-01T08:45:35Z,26,0x3e5aa082
1788253535,2026-09-01T09:05:35Z,22,0x3e5aa082
1788254735,2026-09-01T09:25:35Z,33,0x3e5aa082
1788255935,2026-09-01T09:45:35Z,36,0x3e5aa082
1788257135,2026-09-01T10:05:35Z,16,0x3e5aa082
1788258335,2026-09-01T10:25:35Z,27,0x917cf8ac
1788259535,2026-09-01T10:45:35Z,26,0x3e5aa082
1788260759,2026-09-01T11:05:59Z,37,0x3e5aa082
1788261959,2026-09-01T11:25:59Z,16,0x3e5aa082
1788263159,2026-09-01T11:45:59Z,29,0x3e5aa082
1788264383,2026-09-01T12:06:23Z,41,0x3e5aa082
1788265595,2026-09-01T12:26:35Z,30,0x3e5aa082
1788266807,2026-09-01T12:46:47Z,33,0x3e5aa082
1788268055,2026-09-01T13:07:35Z,84,0x3e5aa082
1788269255,2026-09-01T13:27:35Z,30,0x3e5aa082
1788270479,2026-09-01T13:47:59Z,37,0x3e5aa082
1788271691,2026-09-01T14:08:11Z,33,0x3e5aa082
1788272891,2026-09-01T14:28:11Z,17,0x3e5aa082
1788274115,2026-09-01T14:48:35Z,42,0x3e5aa082
1788275327,2026-09-01T15:08:47Z,42,0x3e5aa082
1788276527,2026-09-01T15:28:47Z,26,0x3e5aa082
1788277727,2026-09-01T15:48:47Z,27,0x3e5aa082
1788278927,2026-09-01T16:08:47Z,102,0x3e5aa082
1788280127,2026-09-01T16:28:47Z,136,0x3e5aa082
1788281327,2026-09-01T16:48:47Z,166,0x3e5aa082
1788282527,2026-09-01T17:08:47Z,262,0x3e5aa082
1788283727,2026-09-01T17:28:47Z,145,0x3e5aa082
1788284927,2026-09-01T17:48:47Z,19,0x3e5aa082
1788286187,2026-09-01T18:09:47Z,98,0x3e5aa082
1788287411,2026-09-01T18:30:11Z,43,0x3e5aa082
1788288695,2026-09-01T18:51:35Z,240,0x3e5aa082
1788289895,2026-09-01T19:11:35Z,104,0x3e5aa082
1788291107,2026-09-01T19:31:47Z,23,0x3e5aa082
1788292319,2026-09-01T19:51:59Z,31,0x3e5aa082
1788293531,2026-09-01T20:12:11Z,233,0x3e5aa082
1788294731,2026-09-01T20:32:11Z,238,0x3e5aa082
1788295931,2026-09-01T20:52:11Z,276,0x3e5aa082
1788297155,2026-09-01T21:12:35Z,297,0x3e5aa082
1788298355,2026-09-01T21:32:35Z,215,0x3e5aa082
1788299555,2026-09-01T21:52:35Z,203,0x3e5aa082
1788300767,2026-09-01T22:12:47Z,226,0x3e5aa082
1788301967,2026-09-01T22:32:47Z,211,0x3e5aa082
1788303167,2026-09-01T22:52:47Z,48,0x3e5aa082
1788304367,2026-09-01T23:12:47Z,28,0x3e5aa082
1788305591,2026-09-01T23:33:11Z,42,0x3e5aa082
1788306791,2026-09-01T23:53:11Z,36,0x3e5aa082
1788308003,2026-09-02T00:13:23Z,25,0x3e5aa082
1788309203,2026-09-02T00:33:23Z,29,0x3e5aa082
1788310403,2026-09-02T00:53:23Z,28,0x3e5aa082
1788311603,2026-09-02T01:13:23Z,52,0x3e5aa082
1788312839,2026-09-02T01:33:59Z,84,0x3e5aa082
1788314075,2026-09-02T01:54:35Z,50,0x3e5aa082
1788315275,2026-09-02T02:14:35Z,28,0x3e5aa082
1788316475,2026-09-02T02:34:35Z,28,0x3e5aa082
1788317675,2026-09-02T02:54:35Z,26,0x3e5aa082
1788318875,2026-09-02T03:14:35Z,27,0x3e5aa082
1788320075,2026-09-02T03:34:35Z,20,0x3e5aa082
1788321275,2026-09-02T03:54:35Z,34,0x3e5aa082
1788322487,2026-09-02T04:14:47Z,63,0x917cf8ac
