batch_sequence,l1_block,l1_timestamp,l1_time_utc,tx_hash,selector,prev_message_count,new_message_count,newest_l2_block,newest_l2_timestamp,posting_delay_s,blobs,nonce,max_fee_per_gas_wei,max_fee_per_blob_gas_wei
226612,25954470,1789133411,2026-09-11T13:30:11Z,0xc2be1721e605383514f17f46b22bd6768db689cea7061e491fb8b9c7447c1046,0x3e5aa082,60293028,60293166,60293165,1789133389,22,3,226611,4856832350,147580840
226613,25954472,1789133435,2026-09-11T13:30:35Z,0xef47115c361fec6557bc5399262ac8ab4146cd398fc8348097046b858148212c,0x3e5aa082,60293166,60293280,60293279,1789133401,34,3,226612,4877916630,134913880
226614,25954472,1789133435,2026-09-11T13:30:35Z,0x96286927b4ed1097e337c6da71ff3d0d8dec7f3792a08033947cc4900aae54c6,0x3e5aa082,60293280,60293344,60293343,1789133407,28,3,226613,4877916630,134913880
226615,25954472,1789133435,2026-09-11T13:30:35Z,0x269b2ddd4b57a85574727963700fa28c15573ec3283e94b5b50446151ea97b80,0x3e5aa082,60293344,60293450,60293449,1789133418,17,3,226614,5110497880,136435780
226616,25954474,1789133459,2026-09-11T13:30:59Z,0xc22f6eda7cf566e200073df407f30dabc22f3693d1f99c3981cc9c7dcb86b545,0x917cf8ac,60293450,60293598,60293597,1789133430,29,3,226615,5139342930,136435780
226617,25954474,1789133459,2026-09-11T13:30:59Z,0x1d10899d23984ab69604f6911299ca335f22f38fa1d8d4ea36ba9dba78120997,0x3e5aa082,60293598,60293710,60293709,1789133441,18,3,226616,5139342930,136435780
226618,25954475,1789133471,2026-09-11T13:31:11Z,0x49f484f1c990a27d8cb2aa3d27c2dd70a3177bd0224f4a3c376aac7af0eb1e04,0x3e5aa082,60293710,60293823,60293822,1789133453,18,3,226617,5181709220,144847330
226619,25954476,1789133483,2026-09-11T13:31:23Z,0x1e405e294545025abb713ae5ab6f41b83191d19e6757d4041b28d56bcf9fd30e,0x3e5aa082,60293823,60293932,60293931,1789133464,19,3,226618,5181709220,144847330
226620,25954477,1789133495,2026-09-11T13:31:35Z,0x5ee0549ed0b0978423bbadc50e9dc923074cce2a2f05edab426f183c2b8f0802,0x3e5aa082,60293932,60294015,60294014,1789133474,21,3,226619,5233679880,162648870
226621,25954481,1789133543,2026-09-11T13:32:23Z,0x96002cfee73967f5792c791e29c22d4a8aa2a97caa526415955b5300d0f375ab,0x3e5aa082,60294015,60294114,60294113,1789133485,58,3,226620,5233679880,162648870
226622,25954481,1789133543,2026-09-11T13:32:23Z,0x9e166f8ef28114651b29aca404d5584f575f482c7fc4c7a5810981441be5a592,0x3e5aa082,60294114,60294235,60294234,1789133497,46,3,226621,5012597080,168845670
226623,25954481,1789133543,2026-09-11T13:32:23Z,0x9961e326a8cc450a016affa9e56f1f2c305dd395ad957e427d8f685e48db4a6f,0x3e5aa082,60294235,60294344,60294343,1789133508,35,3,226622,5326379950,168845670
226624,25954481,1789133543,2026-09-11T13:32:23Z,0x52a5c020530e7da2904d1f972f42941071b0f2d479fcf3ea7eac845930f7276a,0x3e5aa082,60294344,60294439,60294438,1789133518,25,3,226623,5066583560,154353530
226625,25954483,1789133567,2026-09-11T13:32:47Z,0xf0b1d1a30480bae7dffeec3f64e39ef15181813851b7c9ff4a9bf9141be2b310,0x3e5aa082,60294439,60294535,60294534,1789133529,38,3,226624,5066583560,154353530
226626,25954483,1789133567,2026-09-11T13:32:47Z,0x2de162c75478cb8503b21475af76965f08cac985b18ca16a999c1f3d503616d6,0x3e5aa082,60294535,60294633,60294632,1789133539,28,3,226625,4906833120,158446910
226627,25954483,1789133567,2026-09-11T13:32:47Z,0xaf53d0cb9f7ea7355e97557933f93ed62a0aaab91ebe75e3a69057d004ac2b90,0x3e5aa082,60294633,60294723,60294722,1789133548,19,3,226626,4906833120,158446910
226628,25954484,1789133579,2026-09-11T13:32:59Z,0xe6b26430611aa66a8c3f7dab362d234fc7ae681da7daef7df3dd457f1e712ec5,0x3e5aa082,60294723,60294830,60294829,1789133559,20,3,226627,4860051980,169478180
226629,25954485,1789133591,2026-09-11T13:33:11Z,0x620ceb6f72b2ff3ed254d187b656f06d94486f017dfa11c2af668c35de812b60,0x3e5aa082,60294830,60294919,60294918,1789133569,22,3,226628,4944476920,183322370
226630,25954486,1789133603,2026-09-11T13:33:23Z,0x8e1f8ef5f051d16fceaa8858cb04324132e92e7ee8119edd5e184fa0c0d662bb,0x3e5aa082,60294919,60295006,60295005,1789133578,25,3,226629,5396537470,169478180
226631,25954487,1789133615,2026-09-11T13:33:35Z,0x862dc22c975b60b710290822f47f3888cfac14614c21de913361c86f0d38f0c8,0x3e5aa082,60295006,60295099,60295098,1789133587,28,3,226630,5396537470,169478180
226632,25954487,1789133615,2026-09-11T13:33:35Z,0x0aec5feb3ba089aaac22e637ca8e5540a33baf7215fa9c722e04b89eea8b196d,0x3e5aa082,60295099,60295192,60295191,1789133597,18,3,226631,5643450650,179255350
226633,25954488,1789133627,2026-09-11T13:33:47Z,0x67a93acdb025b4265c5a7ae2284e824a5ea75dc9f058b9059ecb3c06056d1e3b,0x3e5aa082,60295192,60295308,60295307,1789133609,18,3,226632,5643450650,179255350
226634,25954490,1789133651,2026-09-11T13:34:11Z,0x66a590f6e826f2e1ebc45fdfcfe8ecbcb75b4d313a39537324f3839ed55c65c8,0x3e5aa082,60295308,60295421,60295420,1789133621,30,3,226633,5442341940,192453590
226635,25954490,1789133651,2026-09-11T13:34:11Z,0x0a64f96a6048d20df9d66c152428b9aff24318314617fc9a9c4f18d8de1a60c6,0x3e5aa082,60295421,60295533,60295532,1789133632,19,3,226634,5442341940,192453590
226636,25954491,1789133663,2026-09-11T13:34:23Z,0xe716aeb06005f3fab69e10866aeb428abd8ba8ea2cb3d22482be717b887799b6,0x3e5aa082,60295533,60295648,60295647,1789133644,19,3,226635,5410984950,186781930
226637,25954492,1789133675,2026-09-11T13:34:35Z,0x6b831bc6c81d349ef2eb3136acc8b1e8b940afec0c0049e64589339c3323be67,0x3e5aa082,60295648,60295766,60295765,1789133656,19,3,226636,5410984950,186781930
226638,25954493,1789133687,2026-09-11T13:34:47Z,0x844bc08634b7f525125178fd4c6662b8c3db043b6057f5c213311bbe219f19af,0x3e5aa082,60295766,60295885,60295884,1789133668,19,3,226637,5305297020,176594240
226639,25954495,1789133711,2026-09-11T13:35:11Z,0x0d14dc3dab50f4b4bdb3374fe548e33fb6504449aa6196a30c38f072a1b7928a,0x3e5aa082,60295885,60296008,60296007,1789133681,30,3,226638,5305297020,176594240
226640,25954495,1789133711,2026-09-11T13:35:11Z,0x734ff5bb9c5771a810e768d139b0c54bb7d149526f7d45c23609c179dab586a5,0x3e5aa082,60296008,60296117,60296116,1789133692,19,3,226639,5096352740,156094700
226641,25954498,1789133747,2026-09-11T13:35:47Z,0xf4dbddabd5aec02fce719953f1aa68c527e0e9d798804ff8d6cf0d903238fd96,0x3e5aa082,60296117,60296211,60296210,1789133702,45,3,226640,5096352740,156094700
226642,25954498,1789133747,2026-09-11T13:35:47Z,0xd959c6951175f9cf02ae7586f0c6ad929bd02e82473005fff12d70bd337e5b94,0x3e5aa082,60296211,60296303,60296302,1789133711,36,3,226641,4978564070,157855540
226643,25954498,1789133747,2026-09-11T13:35:47Z,0x781bfb34bcc7d76691135f1a6d186d9cb3f6698e91bf54ef53d917976a39e43d,0x3e5aa082,60296303,60296396,60296395,1789133721,26,3,226642,4978564070,157855540
226644,25954499,1789133759,2026-09-11T13:35:59Z,0x2c30007416cfecdccb67a120ec6e3d6668d085a158c9879dd5e1b3603396a531,0x3e5aa082,60296396,60296476,60296475,1789133729,30,3,226643,4862709070,134913830
226645,25954499,1789133759,2026-09-11T13:35:59Z,0x8a85cdd674f579b282325f9f78c8b26367981ae1a7ec4c4d003ff8749ecdb238,0x3e5aa082,60296476,60296523,60296522,1789133734,25,3,226644,4862709070,134913830
226646,25954500,1789133771,2026-09-11T13:36:11Z,0xacb1a804e97c4be3f1563be955b0b2e6a0dbf23d9f57a96472640ea1c200d406,0x3e5aa082,60296523,60296621,60296620,1789133745,26,3,226645,4800490810,138491680
226647,25954502,1789133795,2026-09-11T13:36:35Z,0x84804a115c210532ea35e35912013af359aff251c0f27afa72956a2d3b026aa2,0x3e5aa082,60296621,60296720,60296719,1789133755,40,3,226646,4800490810,138491680
226648,25954502,1789133795,2026-09-11T13:36:35Z,0xdb34d293a7f1896364d39c842acea1e7bca15c9b2d87c4d0a330e2fa49b00027,0x3e5aa082,60296720,60296822,60296821,1789133765,30,3,226647,4933867960,152062070
226649,25954502,1789133795,2026-09-11T13:36:35Z,0xa8ff1379f704bcb405b7cd7455006737dc6c14d31a582bba9e12c2b43f75c833,0x3e5aa082,60296822,60296924,60296923,1789133776,19,3,226648,4927879850,158446870
226650,25954506,1789133843,2026-09-11T13:37:23Z,0x3a2958f22261fcb7cfc845d102ca113d60bf1b8ed9e8c0e0b355551f49d14b7e,0x3e5aa082,60296924,60296996,60296995,1789133783,60,3,226649,4927879850,158446870
226651,25954506,1789133843,2026-09-11T13:37:23Z,0xcf391349bcce4d53e5d0ada8a62d75481ead0fc4bac159a46b1ba2c7df0df3ce,0x3e5aa082,60296996,60297082,60297081,1789133792,51,3,226650,4864109800,135419220
226652,25954506,1789133843,2026-09-11T13:37:23Z,0x58e043fdfc0a2d3d4bfa12d73b1cdce3857a64a4ffaf13e843126246021f303b,0x3e5aa082,60297082,60297171,60297170,1789133802,41,3,226651,4864109800,135419220
226653,25954506,1789133843,2026-09-11T13:37:23Z,0x1ef71d0855313ac37b5dec38a794a1d59858d23dfd3fd8e7b665085ae30fe47e,0x917cf8ac,60297171,60297321,60297320,1789133814,29,3,226652,4856675740,143231530
226654,25954506,1789133843,2026-09-11T13:37:23Z,0x3b9e9773b83ad377bf52de1d3ec3a8493fd61a133f80f8b5b9e89401d335426d,0x3e5aa082,60297321,60297416,60297415,1789133824,19,3,226653,4772703640,145934530
226655,25954509,1789133879,2026-09-11T13:37:59Z,0x5a1bd7413f5b3c888ca1781ee28964f87d380aea75a594903c612e8321651cb5,0x3e5aa082,60297416,60297535,60297534,1789133837,42,3,226654,4627047350,137974790
226656,25954509,1789133879,2026-09-11T13:37:59Z,0x91742742e31ee71817d1e5ecb49a8d4c32877b156ccf88db44f7b0c4edcfad96,0x3e5aa082,60297535,60297623,60297622,1789133846,33,3,226655,4627047350,137974790
226657,25954509,1789133879,2026-09-11T13:37:59Z,0xc06253097feee08db38afa653e316d4afe65bbe581f6cde7825147f317783324,0x3e5aa082,60297623,60297730,60297729,1789133857,22,3,226656,4716542590,147580760
226658,25954513,1789133927,2026-09-11T13:38:47Z,0xc49c5f2211d2b180ffd5d540ad1a784b1499145f5adc82f1b13270a982387a69,0x3e5aa082,60297730,60297856,60297855,1789133871,56,3,226657,4683172000,144306670
226659,25954513,1789133927,2026-09-11T13:38:47Z,0xe2144aa1dfa8e7bc52ffc4da2f046e97ff4a4573b040bac30ebebdce32daacbc,0x3e5aa082,60297856,60297984,60297983,1789133884,43,3,226658,4683172000,144306670
226660,25954513,1789133927,2026-09-11T13:38:47Z,0x334c5cb961ec5d31381242fcc42b4a7cf12809777b9664302a7190615e45abbc,0x3e5aa082,60297984,60298117,60298116,1789133898,29,3,226659,4351741970,136435710
