block,timestamp,time_utc,tx_hash,from,to,blobs,gas_used,effective_gas_price_wei,base_fee_wei,priority_fee_per_gas_wei,is_robinhood
25903915,1788524411,2026-09-04T12:20:11Z,0xe7bf1d9761b337dc971c157b3020a10e49e0962da540d18cd6a3b8f45df1a559,0xdaa526086787d9debe1d7f3ffdb1fe50cf8687f4,0xbd0d173eeb87d57a09521c24388a12789f33ba96,3,144456,104824174,103824174,1000000,1
25903916,1788524423,2026-09-04T12:20:23Z,0x130f643e51e8700f51070d35bcf79d8b22cac02742c588f95da5a198520ce3c1,0x5050f69a9786f081509234f1a7f4684b5e5b76c9,0xff00000000000000000000000000000000008453,6,21000,2615030431,105030431,2510000000,0
25903916,1788524423,2026-09-04T12:20:23Z,0x75de4ab8a596eb4a5ec06fbfec3eaadeef064090bfd08029ea9a3adb9971eff2,0xf8ff3e62e94807a5c687f418fe36942dd3a24524,0xe28cac160c2a79dfa1fbd2169ac5fa5d061cf186,2,135251,107216717,105030431,2186286,0
25903916,1788524423,2026-09-04T12:20:23Z,0xea216118543fb84e1e8c10dc4777c2446c4decf75d96fe514b0dcb1c7fbe38cd,0xdaa526086787d9debe1d7f3ffdb1fe50cf8687f4,0xbd0d173eeb87d57a09521c24388a12789f33ba96,3,144456,106030431,105030431,1000000,1
25903916,1788524423,2026-09-04T12:20:23Z,0x481b534e727a6fa331537a80724abdac800764577102c0a68ca22b7b4e840a84,0xdaa526086787d9debe1d7f3ffdb1fe50cf8687f4,0xbd0d173eeb87d57a09521c24388a12789f33ba96,3,144456,106030431,105030431,1000000,1
25903917,1788524435,2026-09-04T12:20:35Z,0x6fe2a5d8ab81c394a7e680ead448d5ad6f1f1bbfe5f4ad5becfdb891f7aa5684,0x5e70713222faf60c9e9fb69240d06ae6d688563a,0x0004cb44c80b6fbf8ceb1d80af688c9f7c0b2ab5,1,21000,204437018,104437018,100000000,0
25903917,1788524435,2026-09-04T12:20:35Z,0xad5c153523a4737944e70d8928ce4c0a0f3b9b79821af2cab2e64bfdd249791a,0xdaa526086787d9debe1d7f3ffdb1fe50cf8687f4,0xbd0d173eeb87d57a09521c24388a12789f33ba96,3,144456,105437018,104437018,1000000,1
25903918,1788524447,2026-09-04T12:20:47Z,0xaf319a35561cc7325d3f777959be4399cd33537800a789445fef944d187ffb0a,0x98245d0adf4595c66f0a9db8e13c44cbff6be459,0x002bde9b0c0857aee2cffdea6b8723eaf5989449,3,21000,1100305683,100305683,1000000000,0
25903918,1788524447,2026-09-04T12:20:47Z,0x9c522614c3b48694b767335c503af36b03b167a612a75b8eb9b6662beb2c3c1a,0xeb41dd5963f4fbc8344fece272a6660999f54e26,0xca11bde05977b3631167028862be2a173976ca11,1,386016,112305683,100305683,12000000,0
25903918,1788524447,2026-09-04T12:20:47Z,0x43cd2f2daa038be91e6d3b51e8205fba95398ca1bb08d74ffd0e56e71b903d11,0xdaa526086787d9debe1d7f3ffdb1fe50cf8687f4,0xbd0d173eeb87d57a09521c24388a12789f33ba96,3,144456,101305683,100305683,1000000,1
25903918,1788524447,2026-09-04T12:20:47Z,0x50526c8f9cadac6aa1df1f27dd77921ab13116334a3bc48fa0d8c8d82bf35454,0xdaa526086787d9debe1d7f3ffdb1fe50cf8687f4,0xbd0d173eeb87d57a09521c24388a12789f33ba96,3,144456,101305683,100305683,1000000,1
25903920,1788524471,2026-09-04T12:21:11Z,0xe945ccff16d48f34b43befac9e53d1a9503aec9e2e3c10426e9d92fc5841b7dd,0xdaa526086787d9debe1d7f3ffdb1fe50cf8687f4,0xbd0d173eeb87d57a09521c24388a12789f33ba96,3,144456,99561843,98561843,1000000,1
25903921,1788524483,2026-09-04T12:21:23Z,0x3a5fb33eabcbd56c38225370a2834aef1fdbb04d593cdbfbdfa1c3dbc16499bb,0x5050f69a9786f081509234f1a7f4684b5e5b76c9,0xff00000000000000000000000000000000008453,6,21000,2610554433,100554433,2510000000,0
25903921,1788524483,2026-09-04T12:21:23Z,0xee8ec512b989646dca54fc0c1520cfce6052fff6ff85177402d41f0c2a8c9cd2,0x5f62d006c10c009ff50c878cd6157ac861c99990,0x6f21c543a4af5189ebdb0723827577e1ef57ef1f,1,75594,1100554433,100554433,1000000000,0
25903921,1788524483,2026-09-04T12:21:23Z,0xed445f53468ce4cf3dec32a0b5e4cbc4156472d65317bfdb833a5d9ad2976de7,0xc4f94828b1f1c43a35783975b1c0c8703c834b15,0x00b7cda0fa738014f2bf3b812ea08ec652452215,1,21000,1100554433,100554433,1000000000,0
