l1_timestamp,l1_time_utc,base_fee_wei,excess_blob_gas,blob_gas_used,gas_utilisation
1788523211,2026-09-04T12:00:11Z,79281218,180091290,524288,0.9608
1788523223,2026-09-04T12:00:23Z,88413766,180266052,524288,0.5751
1788523235,2026-09-04T12:00:35Z,90072981,180440814,131072,0.5772
1788523247,2026-09-04T12:00:47Z,91810774,180484504,1441792,0.761
1788523259,2026-09-04T12:00:59Z,97801944,180965101,0,0.4179
1788523271,2026-09-04T12:01:11Z,95795148,180965101,1179648,0.7443
1788523283,2026-09-04T12:01:23Z,101644768,181358317,393216,0.5095
1788523295,2026-09-04T12:01:35Z,101886453,181489389,1966080,0.4752
1788523307,2026-09-04T12:01:47Z,101254684,182144749,262144,0.4359
1788523319,2026-09-04T12:01:59Z,99633285,182232130,524288,0.3338
1788523331,2026-09-04T12:02:11Z,95494649,182406892,1048576,0.8565
1788523343,2026-09-04T12:02:23Z,104005842,181620460,393216,0.3736
1788523355,2026-09-04T12:02:35Z,100720026,181751532,1441792,0.4611
1788523367,2026-09-04T12:02:47Z,99740064,182232129,524288,0.6499
1788523379,2026-09-04T12:02:59Z,103477889,182406891,0,0.4107
1788523391,2026-09-04T12:03:11Z,101168285,182406891,1572864,0.5554
1788523403,2026-09-04T12:03:23Z,102570696,182931179,1835008,0.4797
1788523415,2026-09-04T12:03:35Z,102050065,183542848,1048576,0.5396
1788523427,2026-09-04T12:03:47Z,103059830,182756416,393216,0.4599
1788523439,2026-09-04T12:03:59Z,102027186,182887488,1572864,0.555
1788523451,2026-09-04T12:04:11Z,103429703,183411776,393216,0.4692
1788523463,2026-09-04T12:04:23Z,102633362,181969984,2097152,0.4685
1788523475,2026-09-04T12:04:35Z,101825276,182669034,655360,0.4585
1788523487,2026-09-04T12:04:47Z,100769393,182887487,1048576,0.524
1788523499,2026-09-04T12:04:59Z,101372962,183237012,0,0.5057
1788523511,2026-09-04T12:05:11Z,101518159,181402004,1310720,0.7307
1788523523,2026-09-04T12:05:23Z,107372763,181838910,1179648,0.6624
1788523535,2026-09-04T12:05:35Z,111731086,182232126,655360,0.3649
