block,timestamp,time_utc,builder_extra_data,fee_recipient,gas_used,gas_limit,base_fee_wei,txs,failed_txs,uniswap_swaps,chainlink_answer_updated,aave_v3_liquidations,priority_fees_wei,proposer_payment_wei,blob_txs,blobs,robinhood_batches
25903915,1788524411,2026-09-04T12:20:11Z,Eureka (eurekabuilder.xyz),0xfb74767c1ce1aada0a0e114441173b57f8c1571b,32788386,60000000,103824174,316,1,47,0,0,17052869566927659,10561805689304112,1,3,1
25903916,1788524423,2026-09-04T12:20:23Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,28644020,60000000,105030431,246,6,55,0,0,18073163068193058,10448400465661755,4,14,2
25903917,1788524435,2026-09-04T12:20:35Z,Eureka (eurekabuilder.xyz),0xfb74767c1ce1aada0a0e114441173b57f8c1571b,20506044,60000000,104437018,281,0,32,0,0,11537678622135840,7411397299999979,2,4,1
25903918,1788524447,2026-09-04T12:20:47Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,26133052,60000000,100305683,250,1,49,0,0,8414427500564442,4586742625775367,4,10,2
25903919,1788524459,2026-09-04T12:20:59Z,Eureka (eurekabuilder.xyz),0xfb74767c1ce1aada0a0e114441173b57f8c1571b,29660487,59941408,98689530,409,0,38,0,0,16172009402181544,10194676136386143,0,0,0
25903920,1788524471,2026-09-04T12:21:11Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,34851962,59999943,98561843,265,2,46,1,0,13315745749576672,18383490953028002,1,3,1
25903921,1788524483,2026-09-04T12:21:23Z,✨ Quasar (quasar.win) ✨,0x396343362be2a4da1ce0c1c210945346fb82aa49,28395998,60000000,100554433,262,1,29,0,0,9785149019580576,7751190790505605,5,14,1
25903922,1788524495,2026-09-04T12:21:35Z,BuilderNet,0xdadb0d80178819f2319190d340ce9a924f783711,24850086,60000000,99882394,248,0,42,0,0,14034864672531330,37442017262989083,1,1,0
25903923,1788524507,2026-09-04T12:21:47Z,✨ Quasar (quasar.win) ✨,0x396343362be2a4da1ce0c1c210945346fb82aa49,28073931,60000000,97739121,319,3,49,1,0,38201031900892326,10505265902108633,2,4,1
25903924,1788524519,2026-09-04T12:21:59Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,33684901,60000000,96954737,283,1,38,0,0,13273281427378372,5999315762747367,3,9,1
25903925,1788524531,2026-09-04T12:22:11Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,26842125,60000000,98443356,276,10,62,1,0,33060374308818949,25380977891120580,1,3,1
25903926,1788524543,2026-09-04T12:22:23Z,Eureka (eurekabuilder.xyz),0xfb74767c1ce1aada0a0e114441173b57f8c1571b,23921262,60000000,97148057,351,1,36,0,0,12188118431260885,12210876729462292,3,10,1
25903927,1788524555,2026-09-04T12:22:35Z,BuilderNet,0xdadb0d80178819f2319190d340ce9a924f783711,22479991,60000000,94687484,219,6,47,0,0,15301286644814653,12491697467960566,0,0,0
25903928,1788524567,2026-09-04T12:22:47Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,35160004,60000000,91720606,444,5,81,0,0,17057218589934872,9138223230761942,3,9,3
25903929,1788524579,2026-09-04T12:22:59Z,✨ Quasar (quasar.win) ✨,0x396343362be2a4da1ce0c1c210945346fb82aa49,29913423,60000000,93692600,373,3,41,2,0,13398582747549454,8943658805481297,2,6,1
25903930,1788524591,2026-09-04T12:23:11Z,BuilderNet,0xdadb0d80178819f2319190d340ce9a924f783711,37257969,60000000,93658802,272,3,53,1,0,12086727913450430,62207472365059394,2,2,0
25903931,1788524603,2026-09-04T12:23:23Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,33750623,60000000,96491188,398,3,44,1,0,12399271559026024,8736388158405990,6,21,3
25903932,1788524615,2026-09-04T12:23:35Z,✨ Quasar (quasar.win) ✨,0x396343362be2a4da1ce0c1c210945346fb82aa49,23573146,60000000,97999113,269,3,50,0,0,9023147862969513,7359903151328576,2,7,1
25903933,1788524627,2026-09-04T12:23:47Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,30352272,60000000,95374839,311,2,47,1,0,13289013668823408,9412053192677680,1,3,1
25903934,1788524639,2026-09-04T12:23:59Z,reth/v2.5.0/linux,0xc06145782f31030db1c40b203be6b0fd53410b6d,7844604,60000000,95514830,150,0,6,0,0,3635893862763184,0,2,4,1
25903935,1788524651,2026-09-04T12:24:11Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,55737330,60000000,86697460,482,7,88,1,0,20872232766995558,14851249899721917,1,3,1
25903936,1788524663,2026-09-04T12:24:23Z,Eureka (eurekabuilder.xyz),0xfb74767c1ce1aada0a0e114441173b57f8c1571b,31446121,60000000,95994798,357,7,43,0,0,12914519458661907,7694321202653147,3,10,1
25903937,1788524675,2026-09-04T12:24:35Z,BuilderNet,0xdadb0d80178819f2319190d340ce9a924f783711,40140336,60000000,96573215,402,2,114,0,0,14784777922530346,9604942857770786,4,9,2
25903938,1788524687,2026-09-04T12:24:47Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,25461212,60000000,100653568,284,2,36,0,0,14260082216390057,11249924031598499,2,4,1
25903939,1788524699,2026-09-04T12:24:59Z,✨ Quasar (quasar.win) ✨,0x396343362be2a4da1ce0c1c210945346fb82aa49,26327671,60000000,98750047,233,0,28,1,0,11736064551337346,7605991930400656,1,3,1
25903940,1788524711,2026-09-04T12:25:11Z,Titan (titanbuilder.xyz),0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,30255325,60000000,97239036,321,3,43,0,0,14339878137046145,8438928816580875,3,8,2
25903941,1788524723,2026-09-04T12:25:23Z,bombora.build 🌊,0x85c2e985a4fb5c3ff25ee27ee424abd851e4cb33,21181651,60000000,97342484,228,2,21,0,0,7587710606516243,0,5,16,1
25903942,1788524735,2026-09-04T12:25:35Z,؃�geth�go1.25.1�linux,0x24d6c74d811cfde65995ed26fd08af445f8aab06,8241384,60000000,93765818,143,0,2,0,0,3323105144603178,0,2,4,1
