stall_start_l1_timestamp,stall_start_utc,stall_end_utc,gap_s,l1_block_at_start,base_fee_before_gwei,base_fee_max_during_gwei,ratio,gas_utilisation_during,blobs_per_block_during
1788345095,2026-09-02T10:31:35Z,2026-09-02T10:34:35Z,180,25889026,0.1375,0.1832,1.33,0.536,10.5
1788345275,2026-09-02T10:34:35Z,2026-09-02T10:37:35Z,180,25889041,0.1303,0.219,1.68,0.545,11.31
1788356471,2026-09-02T13:41:11Z,2026-09-02T13:47:23Z,372,25889970,0.1317,0.3187,2.42,0.603,8.31
1788445883,2026-09-03T14:31:23Z,2026-09-03T14:34:35Z,192,25897393,0.2224,0.6086,2.74,0.575,7.06
1788446891,2026-09-03T14:48:11Z,2026-09-03T14:51:59Z,228,25897477,0.5021,0.787,1.57,0.647,9.15
1788450695,2026-09-03T15:51:35Z,2026-09-03T15:54:47Z,192,25897794,0.4357,0.4709,1.08,0.601,6.35
1788462215,2026-09-03T19:03:35Z,2026-09-03T19:07:47Z,252,25898749,0.1375,0.2232,1.62,0.556,5.23
1788513359,2026-09-04T09:15:59Z,2026-09-04T09:22:11Z,372,25902996,0.1038,0.1409,1.36,0.552,4.94
1788524987,2026-09-04T12:29:47Z,2026-09-04T12:38:23Z,516,25903963,0.1026,0.9884,9.63,0.73,7.86
1788525767,2026-09-04T12:42:47Z,2026-09-04T12:48:11Z,324,25904028,0.2026,1.7402,8.59,0.587,7.79
1789134515,2026-09-11T13:48:35Z,2026-09-11T13:53:35Z,300,25954562,0.229,2.1128,9.23,0.752,6.85
1789141895,2026-09-11T15:51:35Z,2026-09-11T15:55:35Z,240,25955172,0.564,0.911,1.62,0.626,6.52
