block,block_timestamp,block_time_utc,l1_base_fee_estimate_wei,per_l1_calldata_byte_wei,per_arbgas_congestion_wei,per_arbgas_total_wei
54266000,1788524985,2026-09-04T12:29:45Z,0,0,344166000,364166000
54266600,1788525049,2026-09-04T12:30:49Z,0,0,484684000,504684000
54267200,1788525110,2026-09-04T12:31:50Z,0,0,516434000,536434000
54267800,1788525168,2026-09-04T12:32:48Z,0,0,439580000,459580000
54268400,1788525229,2026-09-04T12:33:49Z,0,0,350998000,370998000
54269000,1788525291,2026-09-04T12:34:51Z,0,0,534704000,554704000
54269600,1788525353,2026-09-04T12:35:53Z,0,0,1246660000,1266660000
54270200,1788525415,2026-09-04T12:36:55Z,0,0,3118406000,3138406000
54270800,1788525477,2026-09-04T12:37:57Z,0,0,3533072000,3553072000
54271400,1788525538,2026-09-04T12:38:58Z,0,0,2699636000,2719636000
54272000,1788525596,2026-09-04T12:39:56Z,0,0,919520000,939520000
54272600,1788525657,2026-09-04T12:40:57Z,0,0,342136000,362136000
54273200,1788525719,2026-09-04T12:41:59Z,0,0,340752000,360752000
54273800,1788525780,2026-09-04T12:43:00Z,0,0,350920000,370920000
54274400,1788525842,2026-09-04T12:44:02Z,0,0,409618000,429618000
54275000,1788525903,2026-09-04T12:45:03Z,0,0,335736000,355736000
54275600,1788525963,2026-09-04T12:46:03Z,0,0,339068000,359068000
54276200,1788526024,2026-09-04T12:47:04Z,0,0,345940000,365940000
54276800,1788526085,2026-09-04T12:48:05Z,0,0,337964000,357964000
54277400,1788526146,2026-09-04T12:49:06Z,0,0,342422000,362422000
54278000,1788526207,2026-09-04T12:50:07Z,0,0,337324000,357324000
54278600,1788526268,2026-09-04T12:51:08Z,0,0,335872000,355872000
54279200,1788526327,2026-09-04T12:52:07Z,143995461,2303927376,335356000,355356000
54279800,1788526387,2026-09-04T12:53:07Z,143995461,2303927376,339404000,359404000
54280400,1788526448,2026-09-04T12:54:08Z,143995461,2303927376,337412000,357412000
54281000,1788526509,2026-09-04T12:55:09Z,143995461,2303927376,336272000,356272000
54281600,1788526570,2026-09-04T12:56:10Z,143995461,2303927376,337300000,357300000
54282200,1788526631,2026-09-04T12:57:11Z,143995461,2303927376,340722000,360722000
54282800,1788526691,2026-09-04T12:58:11Z,143995461,2303927376,337964000,357964000
54283400,1788526749,2026-09-04T12:59:09Z,0,0,335044000,355044000
54284000,1788526810,2026-09-04T13:00:10Z,0,0,334604000,354604000
54284600,1788526871,2026-09-04T13:01:11Z,0,0,338874000,358874000
54285200,1788526932,2026-09-04T13:02:12Z,0,0,338284000,358284000
54285800,1788526993,2026-09-04T13:03:13Z,0,0,339676000,359676000
54286400,1788527055,2026-09-04T13:04:15Z,0,0,340384000,360384000
54287000,1788527108,2026-09-04T13:05:08Z,321536672,5144586752,337666000,357666000
54287600,1788527169,2026-09-04T13:06:09Z,321536672,5144586752,336800000,356800000
54288200,1788527230,2026-09-04T13:07:10Z,321536672,5144586752,338390000,358390000
54288800,1788527291,2026-09-04T13:08:11Z,321536672,5144586752,343798000,363798000
54289400,1788527352,2026-09-04T13:09:12Z,321536672,5144586752,337388000,357388000
54290000,1788527413,2026-09-04T13:10:13Z,321536672,5144586752,335720000,355720000
54290600,1788527471,2026-09-04T13:11:11Z,0,0,334324000,354324000
54291200,1788527534,2026-09-04T13:12:14Z,0,0,333914000,353914000
54291800,1788527594,2026-09-04T13:13:14Z,0,0,344368000,364368000
54292400,1788527655,2026-09-04T13:14:15Z,0,0,340646000,360646000
54293000,1788527716,2026-09-04T13:15:16Z,0,0,338372000,358372000
54293600,1788527777,2026-09-04T13:16:17Z,0,0,334516000,354516000
54294200,1788527838,2026-09-04T13:17:18Z,0,0,333738000,353738000
54294800,1788527896,2026-09-04T13:18:16Z,0,0,333738000,353738000
54295400,1788527956,2026-09-04T13:19:16Z,0,0,339374000,359374000
54296000,1788528017,2026-09-04T13:20:17Z,0,0,351088000,371088000
54296600,1788528078,2026-09-04T13:21:18Z,0,0,388622000,408622000
54297200,1788528141,2026-09-04T13:22:21Z,0,0,416280000,436280000
54297800,1788528202,2026-09-04T13:23:22Z,0,0,343216000,363216000
54298400,1788528259,2026-09-04T13:24:19Z,0,0,344166000,364166000
54299000,1788528320,2026-09-04T13:25:20Z,0,0,352408000,372408000
54299600,1788528382,2026-09-04T13:26:22Z,0,0,353522000,373522000
54300200,1788528442,2026-09-04T13:27:22Z,0,0,345142000,365142000
54300800,1788528504,2026-09-04T13:28:24Z,0,0,466632000,486632000
54301400,1788528564,2026-09-04T13:29:24Z,0,0,407926000,427926000
54302000,1788528621,2026-09-04T13:30:21Z,0,0,347304000,367304000
54302600,1788528683,2026-09-04T13:31:23Z,0,0,426400000,446400000
54303200,1788528745,2026-09-04T13:32:25Z,0,0,625942000,645942000
54303800,1788528807,2026-09-04T13:33:27Z,0,0,576550000,596550000
54304400,1788528868,2026-09-04T13:34:28Z,0,0,357434000,377434000
54305000,1788528929,2026-09-04T13:35:29Z,0,0,361666000,381666000
54305600,1788528990,2026-09-04T13:36:30Z,0,0,373206000,393206000
54306200,1788529049,2026-09-04T13:37:29Z,0,0,339068000,359068000
54306800,1788529110,2026-09-04T13:38:30Z,0,0,354710000,374710000
54307400,1788529171,2026-09-04T13:39:31Z,0,0,336160000,356160000
54308000,1788529232,2026-09-04T13:40:32Z,0,0,374178000,394178000
