block,block_timestamp,block_time_utc,l1_pricing_surplus_wei,l1_pricing_funds_due_for_rewards_wei,l1_pricing_units_since_update,last_l1_pricing_update_time,last_l1_pricing_update_utc,per_l1_calldata_byte_wei
54248000,1788523163,2026-09-04T11:59:23Z,2684222505921912,448352296990,1015472485,1788522455,2026-09-04T11:47:35Z,0
54249200,1788523284,2026-09-04T12:01:24Z,1940249535532385,448352296990,652789412,1788522839,2026-09-04T11:53:59Z,0
54250400,1788523407,2026-09-04T12:03:27Z,1940249535532385,448352296990,847291796,1788522839,2026-09-04T11:53:59Z,0
54251600,1788523529,2026-09-04T12:05:29Z,1940249535532385,448352296990,1026972820,1788522839,2026-09-04T11:53:59Z,0
54252800,1788523647,2026-09-04T12:07:27Z,1206627938946745,448352296990,628604848,1788523223,2026-09-04T12:00:23Z,0
54254000,1788523770,2026-09-04T12:09:30Z,1206627938946745,448352296990,804420928,1788523223,2026-09-04T12:00:23Z,0
54255200,1788523894,2026-09-04T12:11:34Z,1206627938946745,448352296990,986085024,1788523223,2026-09-04T12:00:23Z,0
54256400,1788524012,2026-09-04T12:13:32Z,185854227697821,448352296990,583706039,1788523607,2026-09-04T12:06:47Z,22558976
54257600,1788524135,2026-09-04T12:15:35Z,435695348641821,448352296990,763452935,1788523607,2026-09-04T12:06:47Z,22558976
54258800,1788524256,2026-09-04T12:17:36Z,649703218617821,448352296990,917405287,1788523607,2026-09-04T12:06:47Z,22558976
54260000,1788524379,2026-09-04T12:19:39Z,903542768429821,448352296990,1100155831,1788523607,2026-09-04T12:06:47Z,22558976
54261200,1788524499,2026-09-04T12:21:39Z,870205241118310,448352296990,760923332,1788523967,2026-09-04T12:12:47Z,96163088
54262400,1788524622,2026-09-04T12:23:42Z,2123904483344310,448352296990,970505956,1788523967,2026-09-04T12:12:47Z,96163088
54263600,1788524744,2026-09-04T12:25:44Z,3247820581240310,448352296990,1158826820,1788523967,2026-09-04T12:12:47Z,96163088
54264800,1788524863,2026-09-04T12:27:43Z,2489049213347047,448352296990,720259734,1788524375,2026-09-04T12:19:35Z,0
54266000,1788524985,2026-09-04T12:29:45Z,2489049213347047,448352296990,879649174,1788524375,2026-09-04T12:19:35Z,0
54267200,1788525110,2026-09-04T12:31:50Z,2489049213347047,448352296990,1112259718,1788524375,2026-09-04T12:19:35Z,0
54268400,1788525229,2026-09-04T12:33:49Z,1545193957887909,448352296990,746119484,1788524735,2026-09-04T12:25:35Z,0
54269600,1788525353,2026-09-04T12:35:53Z,1545193957887909,448352296990,955294332,1788524735,2026-09-04T12:25:35Z,0
54270800,1788525477,2026-09-04T12:37:57Z,1545193957887909,448352296990,1167275548,1788524735,2026-09-04T12:25:35Z,0
54272000,1788525596,2026-09-04T12:39:56Z,888081887501586,448352296990,932494894,1788524987,2026-09-04T12:29:47Z,0
54273200,1788525719,2026-09-04T12:41:59Z,888081887501586,448352296990,1062297822,1788524987,2026-09-04T12:29:47Z,0
54274400,1788525842,2026-09-04T12:44:02Z,888081887501586,448352296990,1223871790,1788524987,2026-09-04T12:29:47Z,0
54275600,1788525963,2026-09-04T12:46:03Z,634396361372216,448352296990,636865008,1788525503,2026-09-04T12:38:23Z,0
54276800,1788526085,2026-09-04T12:48:05Z,634396361372216,448352296990,817575744,1788525503,2026-09-04T12:38:23Z,0
54278000,1788526207,2026-09-04T12:50:07Z,634396361372216,448352296990,1015579792,1788525503,2026-09-04T12:38:23Z,0
54279200,1788526327,2026-09-04T12:52:07Z,-3622905599006242,450627308680,816271539,1788525767,2026-09-04T12:42:47Z,2303927376
54280400,1788526448,2026-09-04T12:54:08Z,15355767972873758,450627308680,948084195,1788525767,2026-09-04T12:42:47Z,2303927376
54281600,1788526570,2026-09-04T12:56:10Z,29073371808895758,450627308680,1043359603,1788525767,2026-09-04T12:42:47Z,2303927376
54282800,1788526691,2026-09-04T12:58:11Z,46385119812049758,450627308680,1163596771,1788525767,2026-09-04T12:42:47Z,2303927376
54284000,1788526810,2026-09-04T13:00:10Z,30665062400589602,450627308680,596100049,1788526295,2026-09-04T12:51:35Z,0
54285200,1788526932,2026-09-04T13:02:12Z,30665062400589602,450627308680,656278977,1788526295,2026-09-04T12:51:35Z,0
54286400,1788527055,2026-09-04T13:04:15Z,30665062400589602,450627308680,749303601,1788526295,2026-09-04T12:51:35Z,0
54287600,1788527169,2026-09-04T13:06:09Z,17444619657729713,450746664110,463072177,1788526679,2026-09-04T12:57:59Z,5144586752
54288800,1788527291,2026-09-04T13:08:11Z,77331442476637713,450746664110,649335009,1788526679,2026-09-04T12:57:59Z,5144586752
54290000,1788527413,2026-09-04T13:10:13Z,115256396947869713,450746664110,767294417,1788526679,2026-09-04T12:57:59Z,5144586752
54291200,1788527534,2026-09-04T13:12:14Z,122037785565183167,450746664110,473147983,1788527063,2026-09-04T13:04:23Z,0
54292400,1788527655,2026-09-04T13:14:15Z,122037785565183167,450746664110,574859615,1788527063,2026-09-04T13:04:23Z,0
54293600,1788527777,2026-09-04T13:16:17Z,122037785565183167,450746664110,668374351,1788527063,2026-09-04T13:04:23Z,0
54294800,1788527896,2026-09-04T13:18:16Z,115667408434224729,450746664110,421072078,1788527447,2026-09-04T13:10:47Z,0
54296000,1788528017,2026-09-04T13:20:17Z,115667408434224729,450746664110,539150574,1788527447,2026-09-04T13:10:47Z,0
54297200,1788528141,2026-09-04T13:22:21Z,115667408434224729,450746664110,716729230,1788527447,2026-09-04T13:10:47Z,0
54298400,1788528259,2026-09-04T13:24:19Z,108759548339464591,450746664110,486110683,1788527819,2026-09-04T13:16:59Z,0
54299600,1788528382,2026-09-04T13:26:22Z,108759548339464591,450746664110,656257435,1788527819,2026-09-04T13:16:59Z,0
54300800,1788528504,2026-09-04T13:28:24Z,108759548339464591,450746664110,842972603,1788527819,2026-09-04T13:16:59Z,0
