block,timestamp,time_utc,gas_used,tx_count_incl_arbos_internal
54266000,1788524985,2026-09-04T12:29:45Z,6550991,16
54266010,1788524986,2026-09-04T12:29:46Z,3551344,15
54266020,1788524987,2026-09-04T12:29:47Z,4298412,15
54266030,1788524988,2026-09-04T12:29:48Z,4859854,18
54266040,1788524989,2026-09-04T12:29:49Z,4297744,13
54266050,1788524990,2026-09-04T12:29:50Z,3517274,10
54266060,1788524991,2026-09-04T12:29:51Z,2074257,12
54266070,1788524992,2026-09-04T12:29:52Z,6383813,20
54266080,1788524993,2026-09-04T12:29:53Z,6606325,23
54266090,1788524994,2026-09-04T12:29:54Z,5020934,17
54266100,1788524995,2026-09-04T12:29:55Z,10702742,28
54266110,1788524997,2026-09-04T12:29:57Z,8327676,28
54266120,1788524998,2026-09-04T12:29:58Z,4950715,20
54266130,1788524999,2026-09-04T12:29:59Z,5328534,12
54266140,1788525000,2026-09-04T12:30:00Z,2743317,22
54266150,1788525001,2026-09-04T12:30:01Z,6325073,26
54266160,1788525002,2026-09-04T12:30:02Z,32073846,163
54266170,1788525003,2026-09-04T12:30:03Z,15416026,62
54266180,1788525004,2026-09-04T12:30:04Z,11253335,49
54266190,1788525005,2026-09-04T12:30:05Z,19421956,154
54266200,1788525007,2026-09-04T12:30:07Z,8796214,60
54266210,1788525008,2026-09-04T12:30:08Z,8993814,40
54266220,1788525009,2026-09-04T12:30:09Z,3732013,33
54266230,1788525010,2026-09-04T12:30:10Z,6040134,37
54266240,1788525011,2026-09-04T12:30:11Z,5691757,44
54266250,1788525012,2026-09-04T12:30:12Z,5047324,24
54266260,1788525013,2026-09-04T12:30:13Z,13677009,20
54266270,1788525014,2026-09-04T12:30:14Z,11975059,28
54266280,1788525015,2026-09-04T12:30:15Z,4394267,32
54266290,1788525016,2026-09-04T12:30:16Z,4498156,24
54266300,1788525017,2026-09-04T12:30:17Z,4625420,17
54266310,1788525018,2026-09-04T12:30:18Z,7941690,17
54266320,1788525019,2026-09-04T12:30:19Z,3725081,19
54266330,1788525020,2026-09-04T12:30:20Z,8767211,25
54266340,1788525021,2026-09-04T12:30:21Z,4835357,27
54266350,1788525022,2026-09-04T12:30:22Z,5509690,20
54266360,1788525023,2026-09-04T12:30:23Z,3882239,15
54266370,1788525024,2026-09-04T12:30:24Z,6649074,17
54266380,1788525025,2026-09-04T12:30:25Z,4323393,19
