day,block,timestamp,time_utc,gas_used,user_tx_count
2026-09-03,53359000,1788432539,2026-09-03T10:48:59Z,2481493,7
2026-09-03,53359030,1788432542,2026-09-03T10:49:02Z,2609910,17
2026-09-03,53359060,1788432545,2026-09-03T10:49:05Z,116225,1
2026-09-03,53359090,1788432548,2026-09-03T10:49:08Z,352468,2
2026-09-03,53359120,1788432551,2026-09-03T10:49:11Z,3046344,10
2026-09-03,53359150,1788432554,2026-09-03T10:49:14Z,2895908,10
2026-09-03,53359180,1788432558,2026-09-03T10:49:18Z,1677329,7
2026-09-03,53359210,1788432561,2026-09-03T10:49:21Z,1672130,5
2026-09-03,53359240,1788432564,2026-09-03T10:49:24Z,2908370,4
2026-09-03,53359270,1788432567,2026-09-03T10:49:27Z,1039075,5
2026-09-03,53359300,1788432570,2026-09-03T10:49:30Z,986418,4
2026-09-03,53359330,1788432573,2026-09-03T10:49:33Z,2316501,7
2026-09-03,53359360,1788432576,2026-09-03T10:49:36Z,2269383,9
2026-09-03,53359390,1788432579,2026-09-03T10:49:39Z,283035,2
2026-09-03,53359420,1788432582,2026-09-03T10:49:42Z,4940842,5
2026-09-03,53359450,1788432585,2026-09-03T10:49:45Z,1480455,7
2026-09-03,53359480,1788432588,2026-09-03T10:49:48Z,1101839,8
2026-09-03,53359510,1788432591,2026-09-03T10:49:51Z,1090714,3
2026-09-03,53359540,1788432594,2026-09-03T10:49:54Z,2606855,5
2026-09-03,53359570,1788432597,2026-09-03T10:49:57Z,674845,4
2026-09-03,53359600,1788432600,2026-09-03T10:50:00Z,1201683,4
2026-09-03,53359630,1788432604,2026-09-03T10:50:04Z,344567,2
2026-09-03,53359660,1788432607,2026-09-03T10:50:07Z,1217888,7
2026-09-03,53359690,1788432610,2026-09-03T10:50:10Z,1439675,4
2026-09-03,53359720,1788432613,2026-09-03T10:50:13Z,3006784,16
2026-09-03,53359750,1788432616,2026-09-03T10:50:16Z,1289327,8
2026-09-03,53359780,1788432619,2026-09-03T10:50:19Z,1403450,5
2026-09-03,53359810,1788432622,2026-09-03T10:50:22Z,2751063,6
2026-09-03,53359840,1788432624,2026-09-03T10:50:24Z,0,1
2026-09-03,53359870,1788432627,2026-09-03T10:50:27Z,132902,1
2026-09-03,53359900,1788432630,2026-09-03T10:50:30Z,1669759,8
2026-09-03,53359930,1788432633,2026-09-03T10:50:33Z,1057029,1
2026-09-03,53359960,1788432636,2026-09-03T10:50:36Z,1363325,3
2026-09-03,53359990,1788432639,2026-09-03T10:50:39Z,1504077,5
2026-09-03,53360020,1788432642,2026-09-03T10:50:42Z,2650136,9
2026-09-03,53360050,1788432646,2026-09-03T10:50:46Z,2059266,11
2026-09-03,53360080,1788432649,2026-09-03T10:50:49Z,2265790,8
2026-09-03,53360110,1788432652,2026-09-03T10:50:52Z,4431623,7
2026-09-03,53360140,1788432655,2026-09-03T10:50:55Z,447020,2
2026-09-03,53360170,1788432658,2026-09-03T10:50:58Z,901457,6
2026-09-03,53360200,1788432661,2026-09-03T10:51:01Z,1586349,3
2026-09-03,53360230,1788432664,2026-09-03T10:51:04Z,2070445,10
2026-09-03,53360260,1788432667,2026-09-03T10:51:07Z,1591878,7
2026-09-03,53360290,1788432670,2026-09-03T10:51:10Z,1082782,4
2026-09-03,53360320,1788432673,2026-09-03T10:51:13Z,1203001,5
2026-09-03,53360350,1788432676,2026-09-03T10:51:16Z,1329295,3
2026-09-03,53360380,1788432679,2026-09-03T10:51:19Z,1396371,5
2026-09-03,53360410,1788432682,2026-09-03T10:51:22Z,2238060,10
2026-09-03,53360440,1788432685,2026-09-03T10:51:25Z,2150782,7
2026-09-03,53360470,1788432688,2026-09-03T10:51:28Z,2837978,8
2026-09-03,53360500,1788432692,2026-09-03T10:51:32Z,1325686,5
2026-09-03,53360530,1788432695,2026-09-03T10:51:35Z,1927032,4
2026-09-03,53360560,1788432698,2026-09-03T10:51:38Z,1736424,10
2026-09-03,53360590,1788432701,2026-09-03T10:51:41Z,1946991,5
2026-09-03,53360620,1788432704,2026-09-03T10:51:44Z,3531633,10
2026-09-03,53360650,1788432707,2026-09-03T10:51:47Z,692252,8
2026-09-03,53360680,1788432710,2026-09-03T10:51:50Z,1183752,4
2026-09-03,53360710,1788432713,2026-09-03T10:51:53Z,380938,6
2026-09-03,53360740,1788432716,2026-09-03T10:51:56Z,131501,1
2026-09-03,53360770,1788432719,2026-09-03T10:51:59Z,1558521,6
2026-09-03,53360800,1788432722,2026-09-03T10:52:02Z,1850965,5
2026-09-03,53360830,1788432725,2026-09-03T10:52:05Z,1004606,2
2026-09-03,53360860,1788432728,2026-09-03T10:52:08Z,855186,8
2026-09-03,53360890,1788432731,2026-09-03T10:52:11Z,588626,1
2026-09-03,53360920,1788432734,2026-09-03T10:52:14Z,2351677,9
2026-09-03,53360950,1788432737,2026-09-03T10:52:17Z,888697,6
2026-09-03,53360980,1788432740,2026-09-03T10:52:20Z,549674,5
2026-09-03,53361010,1788432744,2026-09-03T10:52:24Z,394399,2
2026-09-03,53361040,1788432747,2026-09-03T10:52:27Z,1292604,5
2026-09-03,53361070,1788432750,2026-09-03T10:52:30Z,2594308,9
2026-09-03,53361100,1788432753,2026-09-03T10:52:33Z,3228610,9
2026-09-03,53361130,1788432756,2026-09-03T10:52:36Z,3974666,10
2026-09-03,53361160,1788432759,2026-09-03T10:52:39Z,2277880,5
2026-09-03,53361190,1788432762,2026-09-03T10:52:42Z,502027,4
2026-09-03,53361220,1788432765,2026-09-03T10:52:45Z,576505,5
2026-09-03,53361250,1788432768,2026-09-03T10:52:48Z,787202,4
2026-09-03,53361280,1788432771,2026-09-03T10:52:51Z,981245,5
2026-09-03,53361310,1788432774,2026-09-03T10:52:54Z,739633,3
2026-09-03,53361340,1788432777,2026-09-03T10:52:57Z,1937988,4
2026-09-03,53361370,1788432780,2026-09-03T10:53:00Z,1196981,7
2026-09-03,53361400,1788432783,2026-09-03T10:53:03Z,1267255,5
2026-09-03,53361430,1788432786,2026-09-03T10:53:06Z,346925,1
2026-09-03,53361460,1788432789,2026-09-03T10:53:09Z,1500351,4
2026-09-03,53361490,1788432792,2026-09-03T10:53:12Z,567140,2
2026-09-03,53361520,1788432795,2026-09-03T10:53:15Z,2724673,13
2026-09-03,53361550,1788432798,2026-09-03T10:53:18Z,255382,1
