block,block_timestamp,block_time_utc,observations_timestamp,inclusion_delay_s,aggregator,transmitter,tx_hash
54249363,1788523301,2026-09-04T12:01:41Z,1788523288,13,0xd6ed4e7d4aba1111eb42a349899b5c72ee1c9fef,0x4af41cd301e74b05410df9f6b5fc3d99ddce7cd5,0xd5b29359550cd2a8b8c6bb536ee6b6772f75c3329dc87ab511701a74d12dc407
54249394,1788523304,2026-09-04T12:01:44Z,1788523292,12,0x901d8df245e48dfc82d6483fc45b5be6ddc5281a,0x2df4c8f0095d7323a1521ce82fbf21629fdba7df,0x2d7aa9875d089d88d732bdc38178fe1fa4b20c3db6235fc2a05338d62cfc0ff5
54249544,1788523319,2026-09-04T12:01:59Z,1788523307,12,0x886e11c1053289eed882c734e1864efe3430bc24,0x5d4faed290f0422c7b33586aa772d81785a01d7c,0xb6fbf63c1e973aac94a4a12ca6d386de7818dd10359a85bc6e2e916f7f699de1
54249752,1788523340,2026-09-04T12:02:20Z,1788523328,12,0x4a9abc759e0b7b0ba98b5fd39c419a5d3e962aaf,0x67a2da43031e8876acc515a21cb0d95648efd807,0xa4b3746979c1923a0d58fb52674fa7418b432ecd6c254fd1efaa23e08d457b89
54251111,1788523479,2026-09-04T12:04:39Z,1788523466,13,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,0x2df4c8f0095d7323a1521ce82fbf21629fdba7df,0x5d2624e6ce8da3f9ce8cff462cbd0e3d37036ed6501156e4940a0b467bf6cedc
54251992,1788523569,2026-09-04T12:06:09Z,1788523496,73,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,0x83b351d4ed8de251ccf65fd44b42d27c41b5d8a6,0x50121d001ca2f1a651ff6ce325164ac6a4debbc371d3b996c2604409c8e7611c
54252165,1788523587,2026-09-04T12:06:27Z,1788523574,13,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,0x1dd2dea254a9b9244d2de4139042c65ab9ecdaae,0xf52aebc26906de33b1651bd1fe450680b2a99a8815e893ed12ab5d635473d408
54252305,1788523601,2026-09-04T12:06:41Z,1788523588,13,0x95fb52f75aecbca8e12aa4403f840c8bc18cfbd4,0x83b351d4ed8de251ccf65fd44b42d27c41b5d8a6,0x51bb28b4e45ab7b9566988dd2ad55abfdeb97f905be01f0c25620f00b20b9975
54252638,1788523631,2026-09-04T12:07:11Z,1788523618,13,0x95fb52f75aecbca8e12aa4403f840c8bc18cfbd4,0x4fea9e9741b57bbaad4cf0e60e99a983bb908b3b,0x9df440d605ea203bc755b498b0a0d3bbab25f83feb298da62d3934c3e37165d2
54252752,1788523642,2026-09-04T12:07:22Z,1788523630,12,0x3d2a8e2937f306d11829d95059deda9a290c74da,0x83b351d4ed8de251ccf65fd44b42d27c41b5d8a6,0x4fe5d765bc892e275801d2ae1e337ee1d22036d551403b0a2676d40f85bb9bbe
54252936,1788523661,2026-09-04T12:07:41Z,1788523648,13,0x95fb52f75aecbca8e12aa4403f840c8bc18cfbd4,0x74d14b5e642ea3331c88bcc72649997f447a7a5f,0x89f88021aa3c602e506725df024d5fd9ee5b1841995d89fa2a2c4ed30d05127d
54253274,1788523696,2026-09-04T12:08:16Z,1788523683,13,0xd9c04b7353421fc4deb1614ed13fe10d90e586cc,0x67a2da43031e8876acc515a21cb0d95648efd807,0x0ed824d93a6068f7df2a59cdb5ed1c862009822ce8b51d1a53a6c820be0b003c
54254225,1788523793,2026-09-04T12:09:53Z,1788523780,13,0x105cbe427bbd3225826a450f67ea80fec6417f93,0x83b351d4ed8de251ccf65fd44b42d27c41b5d8a6,0x3a5b0e356fe65b7a12dce2441c58b3d48745c466c302a71619dfbfa680b0280a
