block,timestamp,time_utc,user_tx_count,user_gas_used,l1_data_gas,reverted_gas,reverted_tx_count
54266000,1788524985,2026-09-04T12:29:45Z,15,6550991,0,2612109,7
54266030,1788524988,2026-09-04T12:29:48Z,17,4859854,0,89512,1
54266060,1788524991,2026-09-04T12:29:51Z,11,2074257,0,0,0
54266090,1788524994,2026-09-04T12:29:54Z,16,5020934,0,0,0
54266120,1788524998,2026-09-04T12:29:58Z,19,4950715,0,75073,1
54266150,1788525001,2026-09-04T12:30:01Z,25,6325073,0,758922,3
54266180,1788525004,2026-09-04T12:30:04Z,48,11253335,0,2950858,22
54266210,1788525008,2026-09-04T12:30:08Z,39,8993814,0,1308138,11
54266240,1788525011,2026-09-04T12:30:11Z,43,5691757,0,2887155,31
54266270,1788525014,2026-09-04T12:30:14Z,27,11975059,0,7442870,2
54266300,1788525017,2026-09-04T12:30:17Z,16,4625420,0,805083,2
54266330,1788525020,2026-09-04T12:30:20Z,24,8767211,0,1285900,5
54266360,1788525023,2026-09-04T12:30:23Z,14,3882239,0,139300,2
54266390,1788525026,2026-09-04T12:30:26Z,30,8237306,0,37055,1
54266420,1788525029,2026-09-04T12:30:29Z,28,9962835,0,100148,2
54266450,1788525032,2026-09-04T12:30:32Z,8,2022744,0,142471,2
54266480,1788525035,2026-09-04T12:30:35Z,18,3171980,0,86769,1
54266510,1788525038,2026-09-04T12:30:38Z,11,3975209,0,373074,3
54266540,1788525041,2026-09-04T12:30:41Z,13,7445360,0,325080,2
54266570,1788525046,2026-09-04T12:30:46Z,13,2024095,0,204032,3
54266600,1788525049,2026-09-04T12:30:49Z,12,1752687,0,0,0
54266630,1788525052,2026-09-04T12:30:52Z,25,8946368,0,557103,4
54266660,1788525055,2026-09-04T12:30:55Z,20,7623307,0,0,0
54266690,1788525058,2026-09-04T12:30:58Z,16,7992338,0,573751,1
54266720,1788525061,2026-09-04T12:31:01Z,17,5234566,0,1343204,3
54266750,1788525064,2026-09-04T12:31:04Z,15,10934067,0,0,0
54266780,1788525067,2026-09-04T12:31:07Z,19,6703299,0,1847844,5
54266810,1788525070,2026-09-04T12:31:10Z,11,2458715,0,0,0
54266840,1788525073,2026-09-04T12:31:13Z,25,5967827,0,691577,6
54266870,1788525076,2026-09-04T12:31:16Z,28,8307639,0,1959572,6
54266900,1788525079,2026-09-04T12:31:19Z,15,6145661,0,391577,3
54266930,1788525083,2026-09-04T12:31:23Z,7,1555377,0,0,0
54266960,1788525086,2026-09-04T12:31:26Z,111,12331429,0,0,0
54266990,1788525089,2026-09-04T12:31:29Z,98,11048378,0,0,0
54267020,1788525092,2026-09-04T12:31:32Z,24,5219426,0,1656212,12
54267050,1788525095,2026-09-04T12:31:35Z,21,4502799,0,615013,9
54267080,1788525098,2026-09-04T12:31:38Z,23,5028204,0,1406184,8
54267110,1788525101,2026-09-04T12:31:41Z,41,8190129,0,5719946,29
54267140,1788525104,2026-09-04T12:31:44Z,15,3357846,0,35895,1
