block,timestamp,time_utc,user_tx_count,user_gas_used,l1_data_gas,reverted_gas,reverted_tx_count
51250000,1788218306,2026-08-31T23:18:26Z,10,4249575,0,0,0
51262000,1788219518,2026-08-31T23:38:38Z,19,2731314,0,0,0
51274000,1788220732,2026-08-31T23:58:52Z,10,3119188,0,89464,1
51286000,1788221945,2026-09-01T00:19:05Z,10,2417204,0,0,0
51298000,1788223158,2026-09-01T00:39:18Z,17,4029284,0,0,0
51310000,1788224369,2026-09-01T00:59:29Z,17,3670076,0,0,0
51322000,1788225580,2026-09-01T01:19:40Z,28,6189099,0,1093119,13
51334000,1788226791,2026-09-01T01:39:51Z,7,1077352,854,0,0
51346000,1788228007,2026-09-01T02:00:07Z,5,1269319,0,0,0
51358000,1788229217,2026-09-01T02:20:17Z,8,1939342,0,0,0
51370000,1788230427,2026-09-01T02:40:27Z,4,581258,0,0,0
51382000,1788231638,2026-09-01T03:00:38Z,9,2906551,0,47781,1
51394000,1788232850,2026-09-01T03:20:50Z,4,1676308,0,0,0
51406000,1788234061,2026-09-01T03:41:01Z,10,6312297,0,0,0
51418000,1788235268,2026-09-01T04:01:08Z,10,3908667,543,679416,1
51430000,1788236478,2026-09-01T04:21:18Z,6,4070987,483,0,0
51442000,1788237691,2026-09-01T04:41:31Z,12,3130357,0,772594,1
51454000,1788238905,2026-09-01T05:01:45Z,8,2256525,0,0,0
51466000,1788240114,2026-09-01T05:21:54Z,6,1199975,0,205855,2
51478000,1788241323,2026-09-01T05:42:03Z,3,436779,0,0,0
51490000,1788242534,2026-09-01T06:02:14Z,3,524047,0,0,0
51502000,1788243743,2026-09-01T06:22:23Z,6,1337668,130,41120,1
51514000,1788244954,2026-09-01T06:42:34Z,11,7047441,0,0,0
51526000,1788246163,2026-09-01T07:02:43Z,10,3319372,0,845058,4
51538000,1788247374,2026-09-01T07:22:54Z,3,1771277,0,0,0
51550000,1788248583,2026-09-01T07:43:03Z,8,4269236,0,0,0
51562000,1788249794,2026-09-01T08:03:14Z,15,3149315,0,59667,1
51574000,1788251002,2026-09-01T08:23:22Z,6,2632412,323,0,0
51586000,1788252211,2026-09-01T08:43:31Z,14,2256030,2216,93818,3
51598000,1788253421,2026-09-01T09:03:41Z,21,4490276,0,0,0
51610000,1788254630,2026-09-01T09:23:50Z,13,2305511,0,0,0
51622000,1788255841,2026-09-01T09:44:01Z,9,5739548,0,0,0
51634000,1788257052,2026-09-01T10:04:12Z,7,4900087,0,1930070,1
51646000,1788258263,2026-09-01T10:24:23Z,11,2707970,0,0,0
51658000,1788259473,2026-09-01T10:44:33Z,7,1251009,0,0,0
51670000,1788260685,2026-09-01T11:04:45Z,17,7369551,9025,0,0
51682000,1788261896,2026-09-01T11:24:56Z,12,3844147,0,0,0
51694000,1788263105,2026-09-01T11:45:05Z,4,855507,0,0,0
51706000,1788264318,2026-09-01T12:05:18Z,15,4474374,0,62458,2
51718000,1788265528,2026-09-01T12:25:28Z,27,8697962,0,0,0
51730000,1788266737,2026-09-01T12:45:37Z,10,2055315,0,31551,1
51742000,1788267949,2026-09-01T13:05:49Z,15,2743436,7602,64244,2
51754000,1788269160,2026-09-01T13:26:00Z,12,3897569,0,944260,1
51766000,1788270371,2026-09-01T13:46:11Z,11,1883004,0,0,0
51778000,1788271584,2026-09-01T14:06:24Z,15,8845546,0,38310,1
51790000,1788272797,2026-09-01T14:26:37Z,14,4386168,0,0,0
51802000,1788274011,2026-09-01T14:46:51Z,20,5854984,0,0,0
51814000,1788275223,2026-09-01T15:07:03Z,8,3387616,0,292924,1
51826000,1788276437,2026-09-01T15:27:17Z,26,8335497,0,386256,1
51838000,1788277654,2026-09-01T15:47:34Z,4,929238,1513,63644,2
